securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫台中,1570.0,0,1402,1021,6442,2026-01-28
合庫高雄,1570.0,0,3000,1023,6442,2026-01-28
合庫基隆,1570.0,0,1020,1025,6442,2026-01-28
合庫彰化,1570.0,0,10,1028,6442,2026-01-28
合庫鳳山,1570.0,0,18,1029,6442,2026-01-28
合庫新竹,1570.0,20,200,102A,6442,2026-01-28
合庫自強,1570.0,0,5,102C,6442,2026-01-28
合庫桃園,1570.0,0,1000,102E,6442,2026-01-28
合庫西台,1570.0,0,3000,102F,6442,2026-01-28
合庫三重,1570.0,0,20,102G,6442,2026-01-28
土銀,1570.0,0,10,1030,6442,2026-01-28
土銀台中,1570.0,0,121,1031,6442,2026-01-28
土銀嘉義,1570.0,0,240,1034,6442,2026-01-28
土銀士林,1570.0,0,5,1039,6442,2026-01-28
臺銀,1570.0,0,48,1040,6442,2026-01-28
臺銀臺南,1570.0,0,1320,1042,6442,2026-01-28
臺銀民權,1570.0,0,1001,1043,6442,2026-01-28
臺銀新竹,1570.0,0,1044,1045,6442,2026-01-28
臺銀臺中,1570.0,3000,1449,104A,6442,2026-01-28
臺銀高雄,1570.0,0,1304,104C,6442,2026-01-28
臺銀金山,1570.0,0,1010,104D,6442,2026-01-28
企銀太平,1570.0,0,25,1115,6442,2026-01-28
企銀民雄,1570.0,1000,100,111A,6442,2026-01-28
台企建成,1570.0,0,30,111B,6442,2026-01-28
企銀桃園,1570.0,1000,0,111E,6442,2026-01-28
企銀北高,1570.0,0,3000,111F,6442,2026-01-28
企銀埔墘,1570.0,1000,0,111G,6442,2026-01-28
彰銀,1570.0,1000,190,1230,6442,2026-01-28
宏遠,1570.0,0,45,1260,6442,2026-01-28
宏遠民生,1570.0,0,2100,1261,6442,2026-01-28
宏遠中和,1570.0,0,1000,126H,6442,2026-01-28
宏遠光隆,1570.0,0,100,126i,6442,2026-01-28
宏遠台中,1570.0,1000,6,126L,6442,2026-01-28
美林,1570.0,15000,15000,1440,6442,2026-01-28
台灣摩根,1570.0,129000,0,1470,6442,2026-01-28
美商高盛,1570.0,0,4000,1480,6442,2026-01-28
花旗環球,1570.0,1000,0,1590,6442,2026-01-28
瑞銀,1570.0,37000,3000,1650,6442,2026-01-28
亞東,1570.0,0,10,2180,6442,2026-01-28
亞東高雄,1570.0,2000,0,2186,6442,2026-01-28
亞東台中,1570.0,0,2,2187,6442,2026-01-28
大展,1570.0,1000,5,5050,6442,2026-01-28
大展台南,1570.0,0,5,5058,6442,2026-01-28
美好,1570.0,2000,0,5260,6442,2026-01-28
美好蘆洲,1570.0,0,89,5261,6442,2026-01-28
美好高雄,1570.0,0,1000,5264,6442,2026-01-28
美好中壢,1570.0,0,60,5266,6442,2026-01-28
美好市政,1570.0,5000,0,526M,6442,2026-01-28
高橋,1570.0,0,29,5320,6442,2026-01-28
高橋龍潭,1570.0,0,220,5321,6442,2026-01-28
高橋中壢,1570.0,0,50,5322,6442,2026-01-28
高橋內壢,1570.0,0,200,5323,6442,2026-01-28
第一金證,1570.0,5000,21,5380,6442,2026-01-28
第一員林,1570.0,1000,0,5381,6442,2026-01-28
第一台中,1570.0,0,10,5382,6442,2026-01-28
第一高雄,1570.0,0,2240,5383,6442,2026-01-28
第一台南,1570.0,0,18,5384,6442,2026-01-28
第一彰化,1570.0,20,1002,5386,6442,2026-01-28
第一澎湖,1570.0,0,20,5387,6442,2026-01-28
第一中山,1570.0,1000,1000,5389,6442,2026-01-28
第一新興,1570.0,1000,4,538A,6442,2026-01-28
第一新竹,1570.0,2000,392,538B,6442,2026-01-28
第一光復,1570.0,0,2000,538C,6442,2026-01-28
第一忠孝,1570.0,1000,31,538D,6442,2026-01-28
第一自由,1570.0,1000,0,538E,6442,2026-01-28
第一稻埕,1570.0,0,2000,538F,6442,2026-01-28
第一頭份,1570.0,0,50,538I,6442,2026-01-28
第一安和,1570.0,0,1,538j,6442,2026-01-28
第一豐原,1570.0,0,1005,538N,6442,2026-01-28
第一路竹,1570.0,1000,0,538P,6442,2026-01-28
第一華江,1570.0,3000,0,538W,6442,2026-01-28
第一中壢,1570.0,0,1000,538Y,6442,2026-01-28
永興台中,1570.0,0,1000,5603,6442,2026-01-28
永興大墩,1570.0,0,4,5604,6442,2026-01-28
統一,1570.0,18216,4510,5850,6442,2026-01-28
統一高雄,1570.0,0,53,5851,6442,2026-01-28
統一敦南,1570.0,0,5000,5852,6442,2026-01-28
統一中壢,1570.0,0,703,5853,6442,2026-01-28
統一城中,1570.0,10000,0,5854,6442,2026-01-28
統一台南,1570.0,0,1006,5855,6442,2026-01-28
統一台中,1570.0,0,21,5856,6442,2026-01-28
統一屏東,1570.0,0,50,5859,6442,2026-01-28
統一永和,1570.0,1000,60,585B,6442,2026-01-28
統一仁愛,1570.0,0,2,585c,6442,2026-01-28
統一新台中,1570.0,1000,2001,585D,6442,2026-01-28
統一新營,1570.0,0,10,585E,6442,2026-01-28
統一彰化,1570.0,0,25,585F,6442,2026-01-28
統一平鎮,1570.0,0,1005,585g,6442,2026-01-28
統一桃園,1570.0,0,14,585H,6442,2026-01-28
統一三重,1570.0,0,8021,585J,6442,2026-01-28
統一士林,1570.0,0,3020,585M,6442,2026-01-28
統一板橋,1570.0,2000,0,585P,6442,2026-01-28
統一東湖,1570.0,0,2000,585R,6442,2026-01-28
統一宜蘭,1570.0,1000,22,585S,6442,2026-01-28
統一南京,1570.0,8100,27,585U,6442,2026-01-28
統一土城,1570.0,0,1628,585Y,6442,2026-01-28
統一松江,1570.0,1000,11,585Z,6442,2026-01-28
元富,1570.0,4000,10,5920,6442,2026-01-28
元富高雄,1570.0,0,1002,5921,6442,2026-01-28
元富新店,1570.0,0,7,5922,6442,2026-01-28
元富台中,1570.0,1000,58,5925,6442,2026-01-28
元富林園,1570.0,200,1,5927,6442,2026-01-28
元富新莊,1570.0,1000,10,5928,6442,2026-01-28
元富台南,1570.0,0,6,5929,6442,2026-01-28
元富松德,1570.0,0,20,592a,6442,2026-01-28
元富緯城,1570.0,0,101,592A,6442,2026-01-28
元富板橋,1570.0,0,1011,592b,6442,2026-01-28
元富永和,1570.0,0,1000,592B,6442,2026-01-28
元富潮洲,1570.0,0,1001,592C,6442,2026-01-28
元富大昌,1570.0,4,38,592D,6442,2026-01-28
元富城中,1570.0,0,1,592E,6442,2026-01-28
元富信義,1570.0,0,4000,592H,6442,2026-01-28
元富中港,1570.0,0,1007,592i,6442,2026-01-28
元富嘉義,1570.0,0,1036,592I,6442,2026-01-28
元富大裕,1570.0,1000,1218,592l,6442,2026-01-28
元富中壢,1570.0,0,10,592L,6442,2026-01-28
元富成功,1570.0,1000,170,592m,6442,2026-01-28
元富西松,1570.0,0,50,592n,6442,2026-01-28
元富新興,1570.0,0,1000,592o,6442,2026-01-28
元富屏東,1570.0,0,20,592q,6442,2026-01-28
元富敦南,1570.0,0,101,592Q,6442,2026-01-28
元富城東,1570.0,0,3,592r,6442,2026-01-28
元富基隆,1570.0,0,50,592S,6442,2026-01-28
元富世貿,1570.0,1000,10,592u,6442,2026-01-28
元富桃園,1570.0,0,40,592v,6442,2026-01-28
元富佳里,1570.0,1000,15,592w,6442,2026-01-28
元富花蓮,1570.0,0,1000,592y,6442,2026-01-28
元富埔里,1570.0,1000,0,592Y,6442,2026-01-28
元富安南,1570.0,0,50,592Z,6442,2026-01-28
日茂,1570.0,0,10000,5960,6442,2026-01-28
?亞網路,1570.0,5000,0,6012,6442,2026-01-28
?亞鑫豐,1570.0,3000,1129,601d,6442,2026-01-28
台中銀,1570.0,3000,50,6110,6442,2026-01-28
中銀台北,1570.0,1000,0,6115,6442,2026-01-28
中銀豐原,1570.0,0,1006,611A,6442,2026-01-28
中國信託,1570.0,3070,2021,6160,6442,2026-01-28
中信三重,1570.0,0,100,6161,6442,2026-01-28
中信託忠,1570.0,0,3161,6162,6442,2026-01-28
中信託文,1570.0,0,9005,6164,6442,2026-01-28
中信託新,1570.0,4010,3015,6165,6442,2026-01-28
中信松江,1570.0,1000,76,6167,6442,2026-01-28
中信中壢,1570.0,0,7,616A,6442,2026-01-28
中信託高,1570.0,12000,1130,616K,6442,2026-01-28
新百王,1570.0,0,101,6210,6442,2026-01-28
光和,1570.0,0,1040,6380,6442,2026-01-28
光和溪湖,1570.0,0,2010,6381,6442,2026-01-28
光和田中,1570.0,0,8,6382,6442,2026-01-28
光和花壇,1570.0,0,50,6385,6442,2026-01-28
永全南崁,1570.0,0,1000,6451,6442,2026-01-28
大昌,1570.0,3000,30,6460,6442,2026-01-28
大昌新店,1570.0,1000,20,6464,6442,2026-01-28
大昌桃園,1570.0,0,3,6465,6442,2026-01-28
福邦,1570.0,0,110,6480,6442,2026-01-28
口袋,1570.0,1000,13,6620,6442,2026-01-28
德信中正,1570.0,0,1,6912,6442,2026-01-28
德信和平,1570.0,0,2000,6915,6442,2026-01-28
兆豐,1570.0,22000,1020,7000,6442,2026-01-28
兆豐嘉義,1570.0,0,10,7001,6442,2026-01-28
兆豐台中,1570.0,4000,0,7003,6442,2026-01-28
兆豐中港,1570.0,0,10,7005,6442,2026-01-28
兆豐台南,1570.0,3000,8,7006,6442,2026-01-28
兆豐忠孝,1570.0,10000,15,700a,6442,2026-01-28
兆豐中壢,1570.0,0,40,700b,6442,2026-01-28
