broker_id,broker_name,buy,sell,net,net_lot
981N,元大金門,1020001,148000,872001,872.0
1470,台灣摩根,2047000,1308003,738997,739.0
9238,凱基士林,611363,87530,523833,523.8
8888,國泰敦南,1343972,1005124,338848,338.8
9359,華南中正,660000,337000,323000,323.0
8560,新光,872110,621562,250548,250.5
1360,港麥格理,231000,0,231000,231.0
9658,富邦建國,1217188,1031760,185428,185.4
9329,華南朴子,194050,14381,179669,179.7
8884,國泰台南,275131,151141,123990,124.0
9676,富邦仁愛,452661,335510,117151,117.2
9655,富邦板橋,211815,95475,116340,116.3
1650,瑞銀,1561000,1445996,115004,115.0
9686,富邦宜蘭,171249,60100,111149,111.1
9B2P,元富同大,171567,65100,106467,106.5
981M,元大苗栗,130810,29600,101210,101.2
9801,元大松江,188890,88600,100290,100.3
1022,合庫台南,129792,31424,98368,98.4
7790,國票綜合,380735,287252,93483,93.5
9278,凱基永康,106000,15515,90485,90.5
