feature,importance
enh_cost_low,0.0434028868902573
enh_cost_high,0.04014240097853822
concentration_5d,0.03495827146821535
top6_max_wave_score,0.030816961316910203
top6_avg_wave_score,0.03052240836410833
atr_pct_20d,0.028406367296172904
final_score,0.02824538198575996
avg_turnover_20d,0.02812415610335219
enh_cost_deviation,0.027894336518574488
pressure_ratio_5d,0.026057277016574232
pressure_ratio_20d,0.025816913231675124
breadth_ratio_20d,0.025284865980669084
enh_coherence_today,0.023897467993603195
final_score_pctile,0.02361646585726597
sell_count_20d,0.02281037532638642
top15_buy_stability_20d,0.02170313670153285
margin_balance_20d_change,0.021697543132247733
buy_count_20d,0.02140589552331632
top15_buy_stability_10d,0.02073431250660004
breadth_ratio_5d,0.020620773868768576
regime_score_pctile,0.020531394742404823
sbl_short_pressure_ratio_20d,0.019976859466466133
buy_count_5d,0.019232998446677425
breadth_20d,0.019082757053839286
sbl_volume_20d,0.019009850597504936
enh_coherence_slope_5d,0.018966757777971147
breadth_5d,0.018844467776367096
netbuy_5d_lot_pctile,0.01839033606307359
regime_score,0.01835536633131156
sell_count_5d,0.01830874976211955
sbl_volume_60d,0.018188296147733984
concentration_20d,0.01744002269825659
concentration_5d_pctile,0.016106115194327142
sbl_volume_5d,0.015799531673142284
tv_score_pctile,0.015727316460001476
score,0.012814395408399992
enh_coherence_max_20d,0.012515987109819136
confirmation_score,0.01090341443360759
netbuy_20d_lot,0.010136110505989325
top15_buy_stability_20d_pctile,0.010089766037290324
inst_three_net_20d,0.009829124285027892
inst_foreign_net_20d,0.009506530777007888
breadth_5d_pctile,0.00809905182745774
netbuy_20d_lot_pctile,0.007752739745812872
score_pctile,0.007489747233891549
enh_coherence_persistence_20d,0.006975456579876502
concentration_20d_pctile,0.006968153961472977
inst_three_net_60d,0.006900050829273185
inst_three_net_5d,0.006528524892330277
breadth_20d_pctile,0.006009479253787035
inst_foreign_net_60d,0.005620397537647446
pressure_ratio_5d_pctile,0.005037683642573846
pressure_ratio_20d_pctile,0.005020007176684262
netbuy_5d_lot,0.004355484312276751
netbuy_1d_lot_pctile,0.004337499212327801
netbuy_1d_lot,0.004242883278883416
top15_buy_stability_10d_pctile,0.003511054842057989
margin_risk_flag,0.003503113897628762
tv_score,0.0029410459170799725
inst_foreign_net_5d,0.0028765292522232137
invalid_flag,0.0017227213878086487
dist_risk_flag,0.0013065088231079681
inst_bull_no_short_pressure_flag,0.001304001422747825
divergence_flag,0.0009281581645256588
sbl_short_pressure_flag,0.0006553599996567987
breakout_flag,0.0
geo_zscore,0.0
geo_grade,0.0
geo_baseline_weight,0.0
inst_trust_net_5d,0.0
inst_three_align_5d,0.0
inst_trust_net_60d,0.0
inst_trust_net_20d,0.0
inst_bear_with_short_pressure_flag,0.0
