broker_id,broker_name,buy,sell,net,net_lot
1650,瑞銀,2991298,1532763,1458535,1458.5
1560,港商野村,3208759,2256670,952089,952.1
9800,元大,4142400,3310061,832339,832.3
9300,華南永昌,822174,212276,609898,609.9
1020,合庫,469916,51552,418364,418.4
9200,凱基,1032145,620739,411406,411.4
9359,華南中正,341045,19983,321062,321.1
8890,大和國泰,250000,1760,248240,248.2
1590,花旗環球,1004000,771594,232406,232.4
5850,統一,600487,387800,212687,212.7
983U,元大頭份,335160,153382,181778,181.8
538W,第一華江,288714,119023,169691,169.7
6160,中國信託,287902,120920,166982,167.0
1360,港麥格理,774870,615000,159870,159.9
9647,富邦新竹,214216,70192,144024,144.0
700S,兆豐大同,160196,22373,137823,137.8
1040,臺銀,234028,98560,135468,135.5
9100,群益,575710,453891,121819,121.8
8880,國泰綜合,288099,166908,121191,121.2
9892,元大屏東,122276,8856,113420,113.4
