broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,2155920,670000,1485920,1485.9
9A9Z,永豐金復興,1111582,49220,1062362,1062.4
9862,元大南京,934162,151512,782650,782.6
984K,元大館前,759343,103886,655457,655.5
961M,富邦木柵,690951,85743,605208,605.2
1440,美林證券,892244,389000,503244,503.2
981j,元大士林,316151,16137,300014,300.0
9208,凱基桃園,346225,72833,273392,273.4
8888,國泰敦南,945344,685996,259348,259.3
779Z,國票安和,663054,418772,244282,244.3
9339,永昌竹北,447872,208111,239761,239.8
9600,富邦,575564,338616,236948,236.9
585b,統一內湖,202350,21700,180650,180.6
1470,摩根士丹利,5566000,5394700,171300,171.3
8150,台新,937030,774694,162336,162.3
8847,玉山台南,209152,48291,160861,160.9
9A9U,永豐金中正,294724,134729,159995,160.0
888K,國泰板橋,322860,166279,156581,156.6
9A81,永豐金匯立,245000,99000,146000,146.0
9B2n,元富西松,209245,69085,140160,140.2
