broker_id,broker_name,buy,sell,net,net_lot
9600,富邦,689585,183983,505602,505.6
9200,凱基,664070,227090,436980,437.0
5850,統一,542762,262513,280249,280.2
9A00,永豐金,491335,227218,264117,264.1
8890,大和國泰,214000,0,214000,214.0
8960,上海匯豐,211000,8000,203000,203.0
9B00,元富證券,302100,109817,192283,192.3
6160,中國信託,256250,76333,179917,179.9
8150,台新,387302,225451,161851,161.9
779c,國票敦北,192984,34012,158972,159.0
9300,華南永昌,253236,100246,152990,153.0
8880,國泰綜合,256466,139909,116557,116.6
1260,宏遠,123140,29140,94000,94.0
9A81,永豐匯立,85760,0,85760,85.8
6010,?亞,64000,11000,53000,53.0
9297,凱基文心,277241,229400,47841,47.8
5380,第一金證,42891,4240,38651,38.7
9216,凱基信義,46108,12015,34093,34.1
988C,元大三重,29814,2435,27379,27.4
1360,港麥格理,75000,48000,27000,27.0
