broker_id,broker_name,buy,sell,net,net_lot
1480,美商高盛,7159387,4795390,2363997,2364.0
5850,統一,3134623,1580708,1553915,1553.9
9800,元大,10130016,9422045,707971,708.0
7000,兆豐,1020598,488731,531867,531.9
1650,瑞銀,6589522,6060582,528940,528.9
9268,凱基台北,7798196,7303656,494540,494.5
9600,富邦,1092325,598545,493780,493.8
9100,群益,1269092,828982,440110,440.1
1560,港商野村,1463444,1107129,356315,356.3
1230,彰銀,229950,81130,148820,148.8
6010,?亞,183000,51000,132000,132.0
6160,中國信託,539980,437266,102714,102.7
9875,元大永寧,178256,91328,86928,86.9
8960,上海匯豐,84124,2597,81527,81.5
8890,大和國泰,543000,478000,65000,65.0
779Z,國票安和,145054,94999,50055,50.1
1110,企銀,101712,53136,48576,48.6
9A81,永豐匯立,157367,109894,47473,47.5
981S,元大崇德,131411,84615,46796,46.8
616A,中信中壢,215713,176596,39117,39.1
