broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,18071326,5873217,12198109,12198.1
1650,瑞銀,15855000,7061000,8794000,8794.0
1480,美商高盛,23933000,15619000,8314000,8314.0
8440,摩根大通,13806000,6715000,7091000,7091.0
9268,凱基台北,29880543,25096709,4783834,4783.8
9800,元大,24502489,21490122,3012367,3012.4
9300,華南永昌,3337610,1303276,2034334,2034.3
779Z,國票安和,1872126,669357,1202769,1202.8
779c,國票敦北,1192830,253749,939081,939.1
1560,港商野村,3798000,2907000,891000,891.0
7790,國票綜合,1499843,847454,652389,652.4
9600,富邦,2334155,1714783,619372,619.4
9B00,元富證券,862216,441030,421186,421.2
779u,國票長城,678000,333002,344998,345.0
9200,凱基,1420100,1088009,332091,332.1
1022,合庫台南,533750,235700,298050,298.0
8459,康和嘉義,539050,259980,279070,279.1
6163,中信託永,709260,470950,238310,238.3
965U,富邦彰化,454800,234028,220772,220.8
9676,富邦仁愛,992386,781531,210855,210.9
