broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,96178075,58606273,37571802,37571.8
1480,美商高盛,177353984,145907695,31446289,31446.3
6462,大昌安康,8582300,1676950,6905350,6905.4
9B00,元富證券,7903467,2137808,5765659,5765.7
9623,富邦台北,7293588,3653310,3640278,3640.3
700V,兆豐新竹,5002984,1385242,3617742,3617.7
1260,宏遠,4239301,1251000,2988301,2988.3
9667,富邦台南,5868237,2905850,2962387,2962.4
616K,中信託高,8127276,5712975,2414301,2414.3
9257,凱基林口,6251011,4005814,2245197,2245.2
9A81,永豐匯立,2245000,332000,1913000,1913.0
981e,元大佳里,3315317,1519454,1795863,1795.9
961C,富邦南京,7805526,6096642,1708884,1708.9
9366,華南豐原,3222337,1544536,1677801,1677.8
8840,玉山,6353499,4747694,1605805,1605.8
983K,元大學甲,3002269,1401169,1601100,1601.1
5859,統一屏東,2486671,927399,1559272,1559.3
918W,群益忠孝,1916279,387520,1528759,1528.8
8150,台新,15414149,13909799,1504350,1504.4
989C,元大板橋,7464998,6233777,1231221,1231.2
