broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,259849950,207602654,52247296,52247.3
1440,美林,158798531,141275622,17522909,17522.9
9A00,永豐金,128003251,114293336,13709915,13709.9
8888,國泰敦南,311728433,298339640,13388793,13388.8
8880,國泰綜合,50536061,38756955,11779106,11779.1
779c,國票敦北,29547076,23174811,6372265,6372.3
700c,兆豐民生,14983859,8677937,6305922,6305.9
9A81,永豐匯立,6752127,810500,5941627,5941.6
1560,港商野村,102171000,96391805,5779195,5779.2
9676,富邦仁愛,24324726,20378549,3946177,3946.2
9B00,元富證券,20820415,17194187,3626228,3626.2
8150,台新,70215128,66673695,3541433,3541.4
8882,國泰台中,59380494,56001077,3379417,3379.4
6160,中國信託,40784240,37524786,3259454,3259.5
9604,富邦陽明,25316933,22087268,3229665,3229.7
9857,元大蘆洲,25880493,22765868,3114625,3114.6
700a,兆豐忠孝,13772874,10665306,3107568,3107.6
8583,聯邦忠孝,4158492,1139847,3018645,3018.6
5384,第一台南,11918227,9203271,2714956,2715.0
8885,國泰桃園,39304979,36932070,2372909,2372.9
