broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,6604419,4242197,2362222,2362.2
9200,凱基,2054214,804198,1250016,1250.0
7000,兆豐,1165524,228670,936854,936.9
9600,富邦,2027502,1177785,849717,849.7
6160,中國信託,814675,256216,558459,558.5
9229,凱基中山,736237,248177,488060,488.1
8150,台新,879083,428699,450384,450.4
8888,國泰敦南,1100533,741964,358569,358.6
9100,群益,964543,622024,342519,342.5
8880,國泰綜合,512152,185650,326502,326.5
9A81,永豐匯立,1097399,780659,316740,316.7
1040,臺銀,329615,62445,267170,267.2
9300,華南永昌,655372,388299,267073,267.1
9875,元大永寧,225786,16237,209549,209.5
6480,福邦,199403,26050,173353,173.4
8840,玉山,265347,109321,156026,156.0
9647,富邦新竹,313306,162529,150777,150.8
9623,富邦台北,256322,109397,146925,146.9
888K,國泰板橋,301056,170778,130278,130.3
9636,富邦中壢,164159,37109,127050,127.0
