broker_id,broker_name,buy,sell,net,net_lot
9216,凱基信義,295945,16259,279686,279.7
1480,美商高盛,1447000,1225000,222000,222.0
1590,花旗環球,223000,10000,213000,213.0
9211,凱基台南,236507,28102,208405,208.4
8888,國泰敦南,608553,470557,137996,138.0
8560,新光,419019,325250,93769,93.8
5850,統一,337033,246654,90379,90.4
6480,福邦,102142,20000,82142,82.1
7000,兆豐,233815,151897,81918,81.9
8450,康和,82323,2251,80072,80.1
9663,富邦敦南,160841,102486,58355,58.4
6162,中信託忠,94283,49319,44964,45.0
9200,凱基,353765,317100,36665,36.7
9208,凱基桃園,65579,29141,36438,36.4
8886,國泰新莊,64936,28540,36396,36.4
989G,元大大同,58044,22143,35901,35.9
9A81,永豐匯立,34000,0,34000,34.0
9239,凱基市政,58773,27768,31005,31.0
8881,國泰高雄,63192,32332,30860,30.9
9872,元大復北,50160,19659,30501,30.5
