feature,importance
inst_foreign_net_20d,0.10807456648038391
inst_trust_net_20d,0.05559175314138655
inst_foreign_net_5d,0.04512452000015086
inst_three_net_60d,0.039950060132552624
inst_foreign_net_60d,0.03755508040813142
inst_three_net_5d,0.03704137126573128
regime_score_pctile,0.036871209487831826
enh_cost_high,0.034081127596640455
enh_cost_low,0.03297866093744678
regime_score,0.030759083657602732
inst_three_net_20d,0.030557414378725774
sbl_volume_60d,0.029421438007197383
avg_turnover_20d,0.02573183761984367
atr_pct_20d,0.020134418572783808
sbl_volume_20d,0.019924545558055565
pressure_ratio_20d,0.019736274335988478
inst_trust_net_60d,0.018547174932950074
enh_cost_deviation,0.017578118484148253
enh_coherence_max_20d,0.01652170652399117
sell_count_20d,0.01625308167154176
buy_count_20d,0.015793810384483877
confirmation_score,0.015061156329692987
breadth_ratio_20d,0.014682648672607112
top15_buy_stability_20d_pctile,0.0131012340025273
pressure_ratio_5d,0.012983119298465327
score,0.012539651132597677
inst_trust_net_5d,0.011921283569299791
final_score_pctile,0.011756755701791057
sbl_volume_5d,0.011738610466591283
enh_coherence_persistence_20d,0.01122756542392449
margin_balance_20d_change,0.011218987093741278
netbuy_20d_lot,0.010629954558414123
breadth_20d,0.010237189313102394
sell_count_5d,0.010194469003351239
final_score,0.009905242795202647
concentration_20d,0.009830379302479347
top15_buy_stability_20d,0.009221325205698024
score_pctile,0.008646852356810805
breadth_5d,0.008333955406659588
netbuy_20d_lot_pctile,0.00806689859782487
breadth_ratio_5d,0.008039563867047623
sbl_short_pressure_ratio_20d,0.007878970662642015
concentration_20d_pctile,0.007668538393359789
concentration_5d,0.007115754743368684
buy_count_5d,0.007090642121512907
pressure_ratio_20d_pctile,0.005136704504133724
netbuy_5d_lot_pctile,0.004697192577088767
top15_buy_stability_10d,0.004477169934574998
tv_score_pctile,0.004400802512561643
top6_max_wave_score,0.0042655131742140705
netbuy_1d_lot_pctile,0.004251767372508237
breadth_20d_pctile,0.004232229747427698
concentration_5d_pctile,0.004021784406481018
top6_avg_wave_score,0.0037153694504486073
geo_zscore,0.003230098593532763
enh_coherence_today,0.0030816052249421134
enh_coherence_slope_5d,0.0029786198975608547
inst_bull_no_short_pressure_flag,0.002544144604218898
pressure_ratio_5d_pctile,0.0018444138552331467
breadth_5d_pctile,0.0017981339700732456
top15_buy_stability_10d_pctile,0.0016559254884982466
netbuy_5d_lot,0.0012327938795119772
netbuy_1d_lot,0.0010894032519116476
geo_baseline_weight,0.0007615214464701135
inst_three_align_5d,0.0007414160247681052
margin_risk_flag,0.0007320522403413
tv_score,0.0006186120222690432
invalid_flag,0.0005406663408733455
sbl_short_pressure_flag,0.00032987980282497164
inst_bear_with_short_pressure_flag,0.0001884005539764217
dist_risk_flag,0.00011577752727451885
divergence_flag,1.8543390775355454e-17
breakout_flag,0.0
