securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫,609.0,1000,0,1020,2357,2025-12-04
合庫,613.0,0,100,1020,2357,2025-12-04
合庫,614.0,1000,0,1020,2357,2025-12-04
合庫,619.0,0,100,1020,2357,2025-12-04
合庫,620.0,1000,0,1020,2357,2025-12-04
合庫台中,607.0,15,5000,1021,2357,2025-12-04
合庫台中,608.0,1000,0,1021,2357,2025-12-04
合庫台中,609.0,1000,0,1021,2357,2025-12-04
合庫台中,617.0,1000,0,1021,2357,2025-12-04
合庫台中,620.0,5000,0,1021,2357,2025-12-04
合庫台南,606.0,0,1000,1022,2357,2025-12-04
合庫台南,608.0,25,0,1022,2357,2025-12-04
合庫台南,611.0,10,0,1022,2357,2025-12-04
合庫高雄,607.0,10,0,1023,2357,2025-12-04
合庫高雄,610.0,23,0,1023,2357,2025-12-04
合庫嘉義,618.0,10,0,1024,2357,2025-12-04
合庫彰化,608.0,15,25,1028,2357,2025-12-04
合庫彰化,609.0,15,0,1028,2357,2025-12-04
合庫彰化,610.0,15,0,1028,2357,2025-12-04
合庫鳳山,609.0,0,1000,1029,2357,2025-12-04
合庫新竹,606.0,0,1000,102A,2357,2025-12-04
合庫新竹,608.0,0,18,102A,2357,2025-12-04
合庫新竹,610.0,20,0,102A,2357,2025-12-04
合庫新竹,612.0,0,10,102A,2357,2025-12-04
合庫自強,608.0,0,50,102C,2357,2025-12-04
合庫自強,612.0,3,0,102C,2357,2025-12-04
合庫桃園,607.0,300,0,102E,2357,2025-12-04
合庫桃園,608.0,200,0,102E,2357,2025-12-04
合庫桃園,609.0,250,0,102E,2357,2025-12-04
合庫桃園,610.0,210,0,102E,2357,2025-12-04
合庫桃園,611.0,100,0,102E,2357,2025-12-04
土銀,605.0,1000,0,1030,2357,2025-12-04
土銀,610.0,50,0,1030,2357,2025-12-04
土銀,619.0,1,0,1030,2357,2025-12-04
土銀,620.0,0,1000,1030,2357,2025-12-04
土銀台南,610.0,0,1000,1032,2357,2025-12-04
土銀台南,612.0,1000,0,1032,2357,2025-12-04
土銀高雄,607.0,1000,0,1033,2357,2025-12-04
土銀高雄,608.0,1000,0,1033,2357,2025-12-04
土銀高雄,611.0,0,100,1033,2357,2025-12-04
土銀高雄,615.0,1000,0,1033,2357,2025-12-04
土銀玉里,609.0,1000,0,1036,2357,2025-12-04
土銀花蓮,608.0,2000,0,1037,2357,2025-12-04
土銀士林,608.0,1000,0,1039,2357,2025-12-04
土銀建國,608.0,10,0,103A,2357,2025-12-04
臺銀,606.0,1000,0,1040,2357,2025-12-04
臺銀,607.0,3011,0,1040,2357,2025-12-04
臺銀,608.0,5000,0,1040,2357,2025-12-04
臺銀,609.0,4000,0,1040,2357,2025-12-04
臺銀,610.0,4005,0,1040,2357,2025-12-04
臺銀,616.0,1,0,1040,2357,2025-12-04
臺銀臺南,606.0,1000,0,1042,2357,2025-12-04
臺銀臺南,607.0,1080,0,1042,2357,2025-12-04
臺銀臺南,608.0,6,0,1042,2357,2025-12-04
臺銀臺南,609.0,226,35,1042,2357,2025-12-04
臺銀臺南,610.0,329,0,1042,2357,2025-12-04
臺銀臺南,611.0,28,0,1042,2357,2025-12-04
臺銀臺南,613.0,310,0,1042,2357,2025-12-04
臺銀臺南,614.0,260,0,1042,2357,2025-12-04
臺銀民權,605.0,2000,0,1043,2357,2025-12-04
臺銀民權,607.0,100,0,1043,2357,2025-12-04
臺銀民權,609.0,15,1000,1043,2357,2025-12-04
臺銀民權,610.0,1000,0,1043,2357,2025-12-04
臺銀民權,615.0,1000,0,1043,2357,2025-12-04
臺銀民權,618.0,100,0,1043,2357,2025-12-04
臺銀新竹,606.0,1000,0,1045,2357,2025-12-04
臺銀新竹,607.0,1002,0,1045,2357,2025-12-04
臺銀新竹,608.0,10,0,1045,2357,2025-12-04
臺銀新竹,610.0,2,0,1045,2357,2025-12-04
臺銀新竹,615.0,10,0,1045,2357,2025-12-04
臺銀臺中,607.0,20,0,104A,2357,2025-12-04
臺銀臺中,608.0,500,0,104A,2357,2025-12-04
臺銀臺中,609.0,1000,0,104A,2357,2025-12-04
臺銀臺中,610.0,560,0,104A,2357,2025-12-04
臺銀臺中,614.0,130,0,104A,2357,2025-12-04
臺銀高雄,607.0,0,1000,104C,2357,2025-12-04
臺銀高雄,608.0,136,0,104C,2357,2025-12-04
臺銀高雄,609.0,15,0,104C,2357,2025-12-04
臺銀高雄,611.0,1,0,104C,2357,2025-12-04
臺銀高雄,612.0,1,0,104C,2357,2025-12-04
臺銀高雄,613.0,23,0,104C,2357,2025-12-04
臺銀高雄,614.0,8,0,104C,2357,2025-12-04
臺銀金山,605.0,1000,0,104D,2357,2025-12-04
臺銀金山,608.0,8,0,104D,2357,2025-12-04
臺銀金山,609.0,105,0,104D,2357,2025-12-04
臺銀金山,610.0,35,0,104D,2357,2025-12-04
臺銀金山,612.0,1000,0,104D,2357,2025-12-04
臺銀金山,613.0,400,0,104D,2357,2025-12-04
企銀,607.0,1100,0,1110,2357,2025-12-04
企銀台中,608.0,15,100,1111,2357,2025-12-04
企銀太平,607.0,0,2000,1115,2357,2025-12-04
企銀屏東,607.0,1000,0,1116,2357,2025-12-04
企銀竹北,606.0,1000,0,1117,2357,2025-12-04
企銀竹北,608.0,2000,0,1117,2357,2025-12-04
企銀竹北,609.0,1000,1000,1117,2357,2025-12-04
企銀竹北,613.0,1000,0,1117,2357,2025-12-04
企銀竹北,616.0,1000,0,1117,2357,2025-12-04
企銀豐原,608.0,70,0,1118,2357,2025-12-04
企銀民雄,613.0,10,0,111A,2357,2025-12-04
企銀桃園,609.0,100,0,111E,2357,2025-12-04
彰銀七賢,610.0,0,500,1232,2357,2025-12-04
彰銀七賢,615.0,50,0,1232,2357,2025-12-04
彰銀七賢,616.0,1000,0,1232,2357,2025-12-04
彰銀台中,608.0,16,0,1233,2357,2025-12-04
彰銀台中,610.0,16,0,1233,2357,2025-12-04
宏遠民生,608.0,50,0,1261,2357,2025-12-04
宏遠中和,608.0,1000,0,126H,2357,2025-12-04
宏遠中和,610.0,30,0,126H,2357,2025-12-04
宏遠台中,608.0,10,0,126L,2357,2025-12-04
宏遠台中,609.0,200,0,126L,2357,2025-12-04
宏遠台中,610.0,50,0,126L,2357,2025-12-04
宏遠台中,611.0,100,0,126L,2357,2025-12-04
宏遠台中,612.0,5,0,126L,2357,2025-12-04
宏遠台中,613.0,50,0,126L,2357,2025-12-04
宏遠台中,615.0,50,0,126L,2357,2025-12-04
宏遠台中,616.0,50,0,126L,2357,2025-12-04
宏遠台中,617.0,50,0,126L,2357,2025-12-04
宏遠新化,610.0,50,0,126X,2357,2025-12-04
宏遠新化,613.0,300,0,126X,2357,2025-12-04
港麥格理,605.0,0,6000,1360,2357,2025-12-04
港麥格理,606.0,0,4000,1360,2357,2025-12-04
港麥格理,607.0,0,27000,1360,2357,2025-12-04
港麥格理,608.0,0,18000,1360,2357,2025-12-04
港麥格理,609.0,0,6000,1360,2357,2025-12-04
美林,605.0,0,31000,1440,2357,2025-12-04
美林,606.0,0,128000,1440,2357,2025-12-04
美林,607.0,15000,257000,1440,2357,2025-12-04
美林,608.0,0,120000,1440,2357,2025-12-04
美林,609.0,0,67000,1440,2357,2025-12-04
美林,610.0,0,22000,1440,2357,2025-12-04
美林,611.0,0,1000,1440,2357,2025-12-04
美林,612.0,1000,3000,1440,2357,2025-12-04
美林,613.0,10000,1000,1440,2357,2025-12-04
美林,614.0,3000,1000,1440,2357,2025-12-04
美林,615.0,3000,0,1440,2357,2025-12-04
美林,616.0,3000,0,1440,2357,2025-12-04
美林,618.0,0,1000,1440,2357,2025-12-04
美林,619.0,7000,3000,1440,2357,2025-12-04
美林,620.0,0,4000,1440,2357,2025-12-04
台灣摩根,605.0,7000,1000,1470,2357,2025-12-04
台灣摩根,606.0,17000,2000,1470,2357,2025-12-04
台灣摩根,607.0,79000,13000,1470,2357,2025-12-04
台灣摩根,608.0,11000,8000,1470,2357,2025-12-04
台灣摩根,609.0,27000,6000,1470,2357,2025-12-04
台灣摩根,610.0,20000,1000,1470,2357,2025-12-04
台灣摩根,611.0,0,32000,1470,2357,2025-12-04
台灣摩根,612.0,2000,0,1470,2357,2025-12-04
台灣摩根,613.0,6000,0,1470,2357,2025-12-04
台灣摩根,614.0,3000,0,1470,2357,2025-12-04
台灣摩根,616.0,2000,0,1470,2357,2025-12-04
台灣摩根,617.0,5000,0,1470,2357,2025-12-04
