securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫,22.5,1000,0,1020,2610,2026-02-11
合庫,22.55,5000,0,1020,2610,2026-02-11
合庫,22.6,1000,0,1020,2610,2026-02-11
合庫,22.7,1000,7000,1020,2610,2026-02-11
合庫,22.75,1000,0,1020,2610,2026-02-11
合庫,22.8,0,3000,1020,2610,2026-02-11
合庫,22.85,0,2000,1020,2610,2026-02-11
合庫台中,22.5,1000,0,1021,2610,2026-02-11
合庫台中,22.6,0,3000,1021,2610,2026-02-11
合庫台中,22.65,8000,0,1021,2610,2026-02-11
合庫台中,22.7,1000,2000,1021,2610,2026-02-11
合庫台中,22.75,0,5000,1021,2610,2026-02-11
合庫台中,22.8,12000,0,1021,2610,2026-02-11
合庫台中,22.85,1000,0,1021,2610,2026-02-11
合庫台南,22.5,1000,0,1022,2610,2026-02-11
合庫台南,22.65,1000,0,1022,2610,2026-02-11
合庫高雄,22.6,0,23000,1023,2610,2026-02-11
合庫高雄,22.7,10000,1000,1023,2610,2026-02-11
合庫高雄,22.8,0,45000,1023,2610,2026-02-11
合庫嘉義,22.55,1000,0,1024,2610,2026-02-11
合庫嘉義,22.65,0,1000,1024,2610,2026-02-11
合庫嘉義,22.7,0,1000,1024,2610,2026-02-11
合庫嘉義,22.85,0,1000,1024,2610,2026-02-11
合庫嘉義,22.9,0,110000,1024,2610,2026-02-11
合庫基隆,22.7,0,1000,1025,2610,2026-02-11
合庫基隆,22.8,0,10000,1025,2610,2026-02-11
合庫彰化,22.45,1000,0,1028,2610,2026-02-11
合庫彰化,22.6,11000,0,1028,2610,2026-02-11
合庫彰化,22.7,1000,0,1028,2610,2026-02-11
合庫彰化,22.75,0,600,1028,2610,2026-02-11
合庫彰化,22.8,0,101000,1028,2610,2026-02-11
合庫鳳山,22.6,0,2000,1029,2610,2026-02-11
合庫鳳山,22.75,1000,0,1029,2610,2026-02-11
合庫鳳山,22.8,0,4000,1029,2610,2026-02-11
合庫新竹,22.55,5000,0,102A,2610,2026-02-11
合庫新竹,22.6,5000,0,102A,2610,2026-02-11
合庫新竹,22.8,0,5000,102A,2610,2026-02-11
合庫自強,22.7,0,2000,102C,2610,2026-02-11
合庫自強,22.8,1000,0,102C,2610,2026-02-11
合庫自強,23.0,0,1000,102C,2610,2026-02-11
合庫桃園,22.6,3000,0,102E,2610,2026-02-11
合庫桃園,22.65,3000,0,102E,2610,2026-02-11
合庫桃園,22.7,11300,10000,102E,2610,2026-02-11
合庫桃園,22.75,0,2000,102E,2610,2026-02-11
合庫桃園,22.8,0,2000,102E,2610,2026-02-11
合庫桃園,22.85,100,0,102E,2610,2026-02-11
合庫西台,22.55,1000,0,102F,2610,2026-02-11
合庫西台,22.6,1000,0,102F,2610,2026-02-11
合庫西台,22.65,0,4000,102F,2610,2026-02-11
合庫西台,22.7,0,4000,102F,2610,2026-02-11
合庫西台,22.75,0,1000,102F,2610,2026-02-11
合庫三重,22.65,1000,0,102G,2610,2026-02-11
土銀,22.55,0,3000,1030,2610,2026-02-11
土銀,22.6,100,1000,1030,2610,2026-02-11
土銀,22.65,1100,0,1030,2610,2026-02-11
土銀,22.8,100,0,1030,2610,2026-02-11
土銀,22.9,0,1000,1030,2610,2026-02-11
土銀台中,22.7,1000,1000,1031,2610,2026-02-11
土銀台南,22.5,1000,0,1032,2610,2026-02-11
土銀台南,22.6,500,0,1032,2610,2026-02-11
土銀高雄,22.6,3000,0,1033,2610,2026-02-11
土銀高雄,22.8,5000,0,1033,2610,2026-02-11
土銀嘉義,22.65,6000,0,1034,2610,2026-02-11
土銀新竹,22.6,1000,35000,1035,2610,2026-02-11
土銀新竹,22.65,10000,0,1035,2610,2026-02-11
土銀新竹,22.7,20000,1000,1035,2610,2026-02-11
土銀新竹,22.75,0,99,1035,2610,2026-02-11
土銀新竹,22.8,0,15043,1035,2610,2026-02-11
土銀花蓮,22.5,1000,0,1037,2610,2026-02-11
土銀花蓮,22.65,5000,0,1037,2610,2026-02-11
土銀花蓮,22.8,0,5000,1037,2610,2026-02-11
土銀和平,22.5,2000,0,1038,2610,2026-02-11
土銀和平,22.7,1000,0,1038,2610,2026-02-11
土銀士林,22.55,2000,0,1039,2610,2026-02-11
土銀士林,22.6,3000,0,1039,2610,2026-02-11
土銀士林,22.7,1000,5000,1039,2610,2026-02-11
土銀士林,22.8,0,2000,1039,2610,2026-02-11
土銀彰化,22.7,0,8000,103B,2610,2026-02-11
土銀南港,22.7,0,1000,103F,2610,2026-02-11
臺銀,22.55,5000,1000,1040,2610,2026-02-11
臺銀,22.6,1134,0,1040,2610,2026-02-11
臺銀,22.7,7000,2100,1040,2610,2026-02-11
臺銀,22.75,1,2100,1040,2610,2026-02-11
臺銀,22.8,0,6000,1040,2610,2026-02-11
臺銀,22.85,1000,10000,1040,2610,2026-02-11
臺銀,22.9,0,3000,1040,2610,2026-02-11
臺銀臺南,22.5,8000,0,1042,2610,2026-02-11
臺銀臺南,22.6,5550,0,1042,2610,2026-02-11
臺銀臺南,22.65,50,150,1042,2610,2026-02-11
臺銀臺南,22.7,1202,1000,1042,2610,2026-02-11
臺銀臺南,22.75,1000,100000,1042,2610,2026-02-11
臺銀臺南,22.8,6050,2000,1042,2610,2026-02-11
臺銀民權,22.5,1000,0,1043,2610,2026-02-11
臺銀民權,22.6,0,5000,1043,2610,2026-02-11
臺銀民權,22.65,0,14000,1043,2610,2026-02-11
臺銀民權,22.7,1000,41000,1043,2610,2026-02-11
臺銀民權,22.75,0,31000,1043,2610,2026-02-11
臺銀民權,22.8,0,3313,1043,2610,2026-02-11
臺銀新竹,22.55,5000,1000,1045,2610,2026-02-11
臺銀新竹,22.6,3000,0,1045,2610,2026-02-11
臺銀新竹,22.65,1000,0,1045,2610,2026-02-11
臺銀新竹,22.7,1000,0,1045,2610,2026-02-11
臺銀新竹,22.8,0,100,1045,2610,2026-02-11
臺銀新竹,22.85,0,3000,1045,2610,2026-02-11
臺銀臺中,22.5,20000,0,104A,2610,2026-02-11
