securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫,22.15,0,10000,1020,2610,2026-01-23
合庫,22.25,666,0,1020,2610,2026-01-23
合庫,22.3,0,5000,1020,2610,2026-01-23
合庫,22.35,0,3000,1020,2610,2026-01-23
合庫,22.4,1000,3000,1020,2610,2026-01-23
合庫,22.45,70,0,1020,2610,2026-01-23
合庫,22.55,51000,0,1020,2610,2026-01-23
合庫,22.65,1000,0,1020,2610,2026-01-23
合庫台中,22.2,2000,0,1021,2610,2026-01-23
合庫台中,22.25,0,6000,1021,2610,2026-01-23
合庫台中,22.3,0,5000,1021,2610,2026-01-23
合庫台中,22.35,0,1100,1021,2610,2026-01-23
合庫台中,22.4,1000,22000,1021,2610,2026-01-23
合庫台中,22.45,500,51000,1021,2610,2026-01-23
合庫台中,22.5,0,5000,1021,2610,2026-01-23
合庫台中,22.7,1000,0,1021,2610,2026-01-23
合庫台南,22.3,500,0,1022,2610,2026-01-23
合庫台南,22.35,1000,15000,1022,2610,2026-01-23
合庫台南,22.4,2000,0,1022,2610,2026-01-23
合庫高雄,22.15,6000,0,1023,2610,2026-01-23
合庫高雄,22.3,2000,0,1023,2610,2026-01-23
合庫高雄,22.35,7000,500,1023,2610,2026-01-23
合庫高雄,22.4,3000,2000,1023,2610,2026-01-23
合庫高雄,22.45,1000,0,1023,2610,2026-01-23
合庫嘉義,22.3,6000,0,1024,2610,2026-01-23
合庫嘉義,22.6,2000,0,1024,2610,2026-01-23
合庫嘉義,22.75,5000,0,1024,2610,2026-01-23
合庫嘉義,22.8,0,10000,1024,2610,2026-01-23
合庫基隆,22.2,0,1000,1025,2610,2026-01-23
合庫基隆,22.35,0,1000,1025,2610,2026-01-23
合庫基隆,22.4,1000,0,1025,2610,2026-01-23
合庫彰化,22.2,2000,0,1028,2610,2026-01-23
合庫彰化,22.35,2000,3400,1028,2610,2026-01-23
合庫彰化,22.4,11000,5000,1028,2610,2026-01-23
合庫彰化,22.45,3000,0,1028,2610,2026-01-23
合庫彰化,22.75,1000,0,1028,2610,2026-01-23
合庫鳳山,22.15,2000,0,1029,2610,2026-01-23
合庫鳳山,22.2,3000,0,1029,2610,2026-01-23
合庫鳳山,22.35,4000,0,1029,2610,2026-01-23
合庫新竹,22.15,1000,0,102A,2610,2026-01-23
合庫新竹,22.3,13000,1000,102A,2610,2026-01-23
合庫新竹,22.4,5000,0,102A,2610,2026-01-23
合庫新竹,22.45,5000,0,102A,2610,2026-01-23
合庫新竹,22.55,2000,0,102A,2610,2026-01-23
合庫自強,22.15,1000,0,102C,2610,2026-01-23
合庫自強,22.2,1000,0,102C,2610,2026-01-23
合庫自強,22.3,0,2000,102C,2610,2026-01-23
合庫自強,22.35,0,16000,102C,2610,2026-01-23
合庫自強,22.5,1000,0,102C,2610,2026-01-23
合庫自強,22.75,1000,0,102C,2610,2026-01-23
合庫自強,22.8,0,2000,102C,2610,2026-01-23
合庫桃園,22.1,2000,0,102E,2610,2026-01-23
合庫桃園,22.15,6000,0,102E,2610,2026-01-23
合庫桃園,22.2,3000,3000,102E,2610,2026-01-23
合庫桃園,22.25,0,1000,102E,2610,2026-01-23
合庫桃園,22.35,15088,0,102E,2610,2026-01-23
合庫桃園,22.4,0,2000,102E,2610,2026-01-23
合庫桃園,22.45,5000,1000,102E,2610,2026-01-23
合庫桃園,22.5,25000,0,102E,2610,2026-01-23
合庫桃園,22.55,10000,0,102E,2610,2026-01-23
合庫西台,22.25,0,1000,102F,2610,2026-01-23
合庫西台,22.3,1000,0,102F,2610,2026-01-23
合庫西台,22.35,3050,1000,102F,2610,2026-01-23
合庫西台,22.4,3000,0,102F,2610,2026-01-23
合庫西台,22.45,1000,0,102F,2610,2026-01-23
合庫三重,22.2,1000,0,102G,2610,2026-01-23
合庫三重,22.3,0,4000,102G,2610,2026-01-23
合庫三重,22.4,0,1000,102G,2610,2026-01-23
合庫三重,22.5,1000,0,102G,2610,2026-01-23
土銀,22.2,2000,70000,1030,2610,2026-01-23
土銀,22.3,4200,0,1030,2610,2026-01-23
土銀,22.35,2000,0,1030,2610,2026-01-23
土銀,22.4,200,100000,1030,2610,2026-01-23
土銀,22.45,2000,1000,1030,2610,2026-01-23
土銀台中,22.3,0,1000,1031,2610,2026-01-23
土銀台南,22.2,6000,0,1032,2610,2026-01-23
土銀台南,22.35,1000,0,1032,2610,2026-01-23
土銀台南,22.4,2000,0,1032,2610,2026-01-23
土銀高雄,22.3,0,29000,1033,2610,2026-01-23
土銀新竹,22.15,0,1000,1035,2610,2026-01-23
土銀新竹,22.25,0,10000,1035,2610,2026-01-23
土銀新竹,22.3,10000,4000,1035,2610,2026-01-23
土銀新竹,22.35,0,19000,1035,2610,2026-01-23
土銀新竹,22.4,0,7000,1035,2610,2026-01-23
土銀新竹,22.55,10000,1000,1035,2610,2026-01-23
土銀新竹,22.75,2000,0,1035,2610,2026-01-23
土銀玉里,22.15,5000,0,1036,2610,2026-01-23
土銀花蓮,22.3,0,10000,1037,2610,2026-01-23
土銀白河,22.25,0,2000,103C,2610,2026-01-23
土銀南港,22.1,5000,0,103F,2610,2026-01-23
土銀南港,22.45,20000,0,103F,2610,2026-01-23
臺銀,22.2,1000,4000,1040,2610,2026-01-23
臺銀,22.25,2000,0,1040,2610,2026-01-23
臺銀,22.3,0,44000,1040,2610,2026-01-23
臺銀,22.35,200,11580,1040,2610,2026-01-23
臺銀,22.4,1000,2000,1040,2610,2026-01-23
臺銀,22.45,200,0,1040,2610,2026-01-23
臺銀,22.5,1000,1000,1040,2610,2026-01-23
臺銀,22.7,1000,0,1040,2610,2026-01-23
臺銀臺南,22.2,16000,0,1042,2610,2026-01-23
臺銀臺南,22.25,1000,0,1042,2610,2026-01-23
臺銀臺南,22.3,3000,71000,1042,2610,2026-01-23
臺銀臺南,22.35,3000,0,1042,2610,2026-01-23
臺銀臺南,22.75,0,7000,1042,2610,2026-01-23
臺銀民權,22.1,3000,0,1043,2610,2026-01-23
臺銀民權,22.15,7000,0,1043,2610,2026-01-23
臺銀民權,22.2,25000,0,1043,2610,2026-01-23
臺銀民權,22.25,2000,0,1043,2610,2026-01-23
臺銀民權,22.3,18000,0,1043,2610,2026-01-23
臺銀民權,22.35,31000,20000,1043,2610,2026-01-23
臺銀民權,22.45,0,10,1043,2610,2026-01-23
臺銀新竹,22.2,4000,0,1045,2610,2026-01-23
臺銀新竹,22.3,0,2000,1045,2610,2026-01-23
臺銀新竹,22.35,2000,0,1045,2610,2026-01-23
臺銀新竹,22.45,0,1000,1045,2610,2026-01-23
臺銀臺中,22.1,2000,0,104A,2610,2026-01-23
臺銀臺中,22.15,3228,0,104A,2610,2026-01-23
臺銀臺中,22.2,0,15000,104A,2610,2026-01-23
臺銀臺中,22.3,4000,7000,104A,2610,2026-01-23
臺銀臺中,22.35,2000,3000,104A,2610,2026-01-23
臺銀臺中,22.4,0,3000,104A,2610,2026-01-23
臺銀臺中,22.5,0,5000,104A,2610,2026-01-23
臺銀臺中,22.65,2000,2000,104A,2610,2026-01-23
臺銀臺中,22.7,10000,0,104A,2610,2026-01-23
臺銀臺中,22.75,0,2000,104A,2610,2026-01-23
臺銀高雄,22.15,1000,0,104C,2610,2026-01-23
臺銀高雄,22.2,7000,0,104C,2610,2026-01-23
臺銀高雄,22.25,200,0,104C,2610,2026-01-23
臺銀高雄,22.3,1000,8630,104C,2610,2026-01-23
臺銀高雄,22.35,4500,30500,104C,2610,2026-01-23
臺銀高雄,22.4,1000,1025,104C,2610,2026-01-23
臺銀高雄,22.45,0,1000,104C,2610,2026-01-23
臺銀高雄,22.5,0,1000,104C,2610,2026-01-23
臺銀高雄,22.55,100,300,104C,2610,2026-01-23
臺銀金山,22.1,300,0,104D,2610,2026-01-23
臺銀金山,22.15,10200,0,104D,2610,2026-01-23
臺銀金山,22.2,1100,0,104D,2610,2026-01-23
臺銀金山,22.25,100,0,104D,2610,2026-01-23
臺銀金山,22.35,5000,8150,104D,2610,2026-01-23
臺銀金山,22.4,2000,1000,104D,2610,2026-01-23
臺銀金山,22.55,1000,0,104D,2610,2026-01-23
企銀,22.45,0,22000,1110,2610,2026-01-23
企銀台南,22.25,50000,0,1112,2610,2026-01-23
企銀台南,22.3,5000,0,1112,2610,2026-01-23
企銀九如,22.2,0,6000,1113,2610,2026-01-23
企銀九如,22.35,2000,0,1113,2610,2026-01-23
企銀嘉義,22.15,4000,0,1114,2610,2026-01-23
企銀太平,22.4,1000,5000,1115,2610,2026-01-23
企銀太平,22.5,1000,0,1115,2610,2026-01-23
企銀屏東,22.4,0,8000,1116,2610,2026-01-23
企銀屏東,22.6,1000,0,1116,2610,2026-01-23
企銀竹北,22.3,2000,0,1117,2610,2026-01-23
企銀竹北,22.4,0,1000,1117,2610,2026-01-23
企銀岡山,22.15,6000,0,1119,2610,2026-01-23
企銀岡山,22.3,6000,7000,1119,2610,2026-01-23
企銀岡山,22.35,0,2000,1119,2610,2026-01-23
企銀岡山,22.4,0,3000,1119,2610,2026-01-23
企銀岡山,22.55,10000,0,1119,2610,2026-01-23
企銀岡山,22.8,0,1000,1119,2610,2026-01-23
台企建成,22.15,10000,0,111B,2610,2026-01-23
台企建成,22.3,2000,0,111B,2610,2026-01-23
台企建成,22.35,11000,0,111B,2610,2026-01-23
台企建成,22.5,12000,0,111B,2610,2026-01-23
企銀桃園,22.3,1000,0,111E,2610,2026-01-23
企銀桃園,22.35,1000,0,111E,2610,2026-01-23
企銀桃園,22.4,1000,0,111E,2610,2026-01-23
企銀北高,22.4,1000,1000,111F,2610,2026-01-23
企銀北高,22.45,0,2000,111F,2610,2026-01-23
企銀埔墘,22.4,2000,0,111G,2610,2026-01-23
彰銀,22.1,1000,0,1230,2610,2026-01-23
彰銀,22.2,2000,0,1230,2610,2026-01-23
彰銀,22.3,5000,0,1230,2610,2026-01-23
彰銀,22.35,4000,0,1230,2610,2026-01-23
彰銀,22.4,10000,0,1230,2610,2026-01-23
彰銀七賢,22.25,10000,0,1232,2610,2026-01-23
彰銀七賢,22.75,1000,0,1232,2610,2026-01-23
彰銀台中,22.25,1000,0,1233,2610,2026-01-23
彰銀台中,22.3,1000,0,1233,2610,2026-01-23
彰銀台中,22.35,30000,3000,1233,2610,2026-01-23
彰銀台中,22.4,0,3000,1233,2610,2026-01-23
彰銀台中,22.45,2000,0,1233,2610,2026-01-23
宏遠,22.4,1000,30000,1260,2610,2026-01-23
宏遠桃園,22.2,0,12000,1262,2610,2026-01-23
宏遠桃園,22.3,1000,1000,1262,2610,2026-01-23
宏遠桃園,22.35,100,0,1262,2610,2026-01-23
宏遠桃園,22.4,1000,0,1262,2610,2026-01-23
宏遠桃園,22.6,1000,0,1262,2610,2026-01-23
宏遠桃園,22.7,1000,0,1262,2610,2026-01-23
宏遠桃園,22.8,0,1000,1262,2610,2026-01-23
宏遠台南,22.35,0,10000,126D,2610,2026-01-23
宏遠台南,22.75,10000,0,126D,2610,2026-01-23
宏遠中和,22.3,0,2000,126H,2610,2026-01-23
宏遠光隆,22.2,0,60000,126i,2610,2026-01-23
宏遠光隆,22.35,0,5000,126i,2610,2026-01-23
宏遠光隆,22.7,5000,0,126i,2610,2026-01-23
宏遠台中,22.35,10,0,126L,2610,2026-01-23
宏遠高雄,22.2,2000,0,126Q,2610,2026-01-23
宏遠高雄,22.3,0,2000,126Q,2610,2026-01-23
宏遠高雄,22.4,2000,0,126Q,2610,2026-01-23
宏遠高雄,22.5,0,2000,126Q,2610,2026-01-23
宏遠館前,22.15,3000,0,126U,2610,2026-01-23
宏遠館前,22.25,0,2000,126U,2610,2026-01-23
宏遠館前,22.3,2000,1000,126U,2610,2026-01-23
宏遠館前,22.35,3000,0,126U,2610,2026-01-23
宏遠館前,22.45,2000,2000,126U,2610,2026-01-23
宏遠館前,22.5,2000,0,126U,2610,2026-01-23
宏遠新化,22.1,1000,0,126X,2610,2026-01-23
美林,22.15,72000,117000,1440,2610,2026-01-23
美林,22.2,77000,4000,1440,2610,2026-01-23
美林,22.25,7000,0,1440,2610,2026-01-23
美林,22.3,194000,2000,1440,2610,2026-01-23
美林,22.35,901000,204000,1440,2610,2026-01-23
美林,22.4,389000,488000,1440,2610,2026-01-23
美林,22.45,127000,0,1440,2610,2026-01-23
美林,22.5,75000,0,1440,2610,2026-01-23
美林,22.55,37000,0,1440,2610,2026-01-23
美林,22.6,33000,0,1440,2610,2026-01-23
美林,22.65,41000,0,1440,2610,2026-01-23
美林,22.7,122000,0,1440,2610,2026-01-23
美林,22.75,87000,3000,1440,2610,2026-01-23
台灣摩根,22.15,23000,6000,1470,2610,2026-01-23
台灣摩根,22.2,134000,21000,1470,2610,2026-01-23
台灣摩根,22.25,45000,19000,1470,2610,2026-01-23
台灣摩根,22.3,543000,207000,1470,2610,2026-01-23
台灣摩根,22.35,1570000,271000,1470,2610,2026-01-23
台灣摩根,22.4,755000,108000,1470,2610,2026-01-23
台灣摩根,22.45,3000,81000,1470,2610,2026-01-23
台灣摩根,22.5,37000,7000,1470,2610,2026-01-23
台灣摩根,22.55,49000,13000,1470,2610,2026-01-23
台灣摩根,22.6,26000,0,1470,2610,2026-01-23
台灣摩根,22.65,4000,0,1470,2610,2026-01-23
台灣摩根,22.7,15000,0,1470,2610,2026-01-23
台灣摩根,22.75,28000,27000,1470,2610,2026-01-23
美商高盛,22.15,22000,370000,1480,2610,2026-01-23
美商高盛,22.2,10000,446000,1480,2610,2026-01-23
美商高盛,22.25,57000,117000,1480,2610,2026-01-23
美商高盛,22.3,499000,633000,1480,2610,2026-01-23
美商高盛,22.35,401000,1584000,1480,2610,2026-01-23
美商高盛,22.4,104000,566000,1480,2610,2026-01-23
美商高盛,22.45,30000,589000,1480,2610,2026-01-23
美商高盛,22.5,73000,1000,1480,2610,2026-01-23
美商高盛,22.55,0,114000,1480,2610,2026-01-23
美商高盛,22.6,5000,0,1480,2610,2026-01-23
美商高盛,22.65,12000,0,1480,2610,2026-01-23
美商高盛,22.7,3000,165000,1480,2610,2026-01-23
美商高盛,22.75,4000,13000,1480,2610,2026-01-23
美商高盛,22.8,8000,0,1480,2610,2026-01-23
港商野村,22.15,2000,0,1560,2610,2026-01-23
港商野村,22.2,2000,0,1560,2610,2026-01-23
港商野村,22.25,6000,2000,1560,2610,2026-01-23
港商野村,22.45,0,2000,1560,2610,2026-01-23
港商野村,22.5,7000,0,1560,2610,2026-01-23
港商野村,22.55,0,6000,1560,2610,2026-01-23
港商野村,22.65,0,7000,1560,2610,2026-01-23
港商野村,22.75,1000,0,1560,2610,2026-01-23
花旗環球,22.1,0,2000,1590,2610,2026-01-23
花旗環球,22.15,11000,11000,1590,2610,2026-01-23
花旗環球,22.2,20000,23000,1590,2610,2026-01-23
花旗環球,22.25,4000,8000,1590,2610,2026-01-23
花旗環球,22.3,37000,10000,1590,2610,2026-01-23
花旗環球,22.35,154000,13000,1590,2610,2026-01-23
花旗環球,22.4,82000,4000,1590,2610,2026-01-23
花旗環球,22.45,29000,3000,1590,2610,2026-01-23
花旗環球,22.5,15000,0,1590,2610,2026-01-23
花旗環球,22.55,5000,0,1590,2610,2026-01-23
花旗環球,22.65,4000,0,1590,2610,2026-01-23
花旗環球,22.7,4000,0,1590,2610,2026-01-23
花旗環球,22.75,29000,0,1590,2610,2026-01-23
花旗環球,22.8,1000,0,1590,2610,2026-01-23
瑞銀,22.15,23000,420000,1650,2610,2026-01-23
瑞銀,22.2,3000,406000,1650,2610,2026-01-23
瑞銀,22.3,87000,690000,1650,2610,2026-01-23
瑞銀,22.35,519000,1142000,1650,2610,2026-01-23
瑞銀,22.4,331089,354000,1650,2610,2026-01-23
瑞銀,22.45,167000,117000,1650,2610,2026-01-23
瑞銀,22.5,7000,16000,1650,2610,2026-01-23
瑞銀,22.55,1000,60000,1650,2610,2026-01-23
瑞銀,22.6,0,41000,1650,2610,2026-01-23
瑞銀,22.65,34000,58000,1650,2610,2026-01-23
瑞銀,22.7,0,36000,1650,2610,2026-01-23
瑞銀,22.75,21000,166000,1650,2610,2026-01-23
瑞銀,22.8,36000,20000,1650,2610,2026-01-23
亞東,22.15,5000,0,2180,2610,2026-01-23
亞東,22.2,5000,0,2180,2610,2026-01-23
亞東,22.3,7000,0,2180,2610,2026-01-23
亞東,22.75,5000,0,2180,2610,2026-01-23
亞東板橋,22.15,1000,0,2181,2610,2026-01-23
亞東板橋,22.35,1000,0,2181,2610,2026-01-23
亞東板橋,22.45,0,100000,2181,2610,2026-01-23
亞東板橋,22.65,1000,0,2181,2610,2026-01-23
亞東新竹,22.2,10000,0,2184,2610,2026-01-23
亞東新竹,22.35,10000,10000,2184,2610,2026-01-23
亞東新竹,22.4,0,2000,2184,2610,2026-01-23
亞東新竹,22.5,10000,0,2184,2610,2026-01-23
亞東新竹,22.6,10000,0,2184,2610,2026-01-23
亞東台南,22.15,1000,0,2185,2610,2026-01-23
亞東台南,22.4,0,1000,2185,2610,2026-01-23
亞東高雄,22.2,1000,0,2186,2610,2026-01-23
