broker_group,tag_type,tag_value,source,notes
中國信託,,,,
中國信託自,,,,
中農,,,,
亞東,,,,
京城,,,,
元大,,,,
元大期貨,,,,
元大自營,,,,
元富,,,,
元富自營,,,,
兆豐,,,,
兆豐自營,,,,
光和,,,,
凱基,,,,
凱基自營,,,,
北城,,,,
口袋,,,,
台中銀,,,,
台中銀自營,,,,
台新,,,,
台新自營,,,,
台灣企銀,,,,
台灣匯立,,,,
台灣摩根士丹利,,,,
合庫,,,,
合庫自營,,,,
國泰,,,,
國泰證自營,,,,
國票,,,,
國票自營,,,,
土銀,,,,
大和國泰,,,,
大展,,,,
大展自營,,,,
大昌,,,,
安泰,,,,
宏遠,,,,
宏遠自營,,,,
富邦,,,,
富邦經紀,,,,
富邦自營,,,,
富隆,,,,
寶盛,,,,
康和,,,,
康和自營,,,,
彰銀,,,,
德信,,,,
德信自營,,,,
摩根大通,,,,
新光,,,,
新光自營,,,,
新加坡商瑞銀,,,,
新百王,,,,
日盛,,,,
日茂,,,,
日進,,,,
永全,,,,
永興,,,,
永豐金,,,,
永豐金自營,,,,
法銀巴黎,,,,
港商法國興業,,,,
港商野村,,,,
港商麥格理,,,,
犇亞,,,,
犇亞證券,,,,
玉山,,,,
玉山自營,,,,
瑞士信貸,,,,
盈溢,,,,
石橋,,,,
福勝,,,,
福邦,,,,
福邦自營,,,,
第一金,,,,
第一金自營,,,,
第一銀行,,,,
統一,,,,
統一自營,,,,
美商高盛,,,,
美好,,,,
美林,,,,
群益期貨,,,,
群益金鼎,,,,
群益金鼎證,,,,
聯邦,,,,
聯邦商銀,,,,
致和,,,,
致和自營,,,,
臺灣企銀,,,,
臺灣銀行,,,,
臺銀,,,,
臺銀自營,,,,
臺銀證券,,,,
花旗環球,,,,
華南永昌,,,,
華南永昌證券,,,,
陽信,,,,
香港上海匯豐,,,,
高橋,,,,
