公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
6294,智基,32,台南市北區成功路114號10樓之1,黃盈圖,"$260,471,060","26,047,106"
6411,晶焱,24,235603新北市中和區建八路2號18樓,洪如真,"$992,306,310","99,230,631"
6417,韋僑,27,台中市大里區仁化工二路99號,張祐棋,"$422,740,000","42,274,000"
6418,詠昇,28,桃園市中壢區中福路二段十巷二號,林孝勳,"$345,220,000","34,522,000"
6419,京晨科,26,新北市中和區建八路16號18樓之2,楊文彬暫代,"$131,591,700","13,159,170"
6423,億而得,24,新竹縣竹北市台元二街12號11樓之2,陳香綺,"$300,145,200","30,014,520"
6425,易發,5,桃園市中壢區自強四路3-2號,洪士傑,"$486,020,000","48,602,000"
6432,今展科,28,新北市三重區重新路五段646號14樓,任若琳,"$322,417,710","32,241,771"
6435,大中,24,新竹科學園區篤行一路6號5樓,薛添福,"$374,613,000","37,461,300"
6441,廣錠,25,新北市汐止區新台五路一段93號24樓,廖良彬,"$533,184,290","53,318,429"
6461,益得,22,台北市內湖區瑞光路358巷36號3樓,皮先智,"$1,784,047,610","178,404,761"
6462,神盾,24,台北市內湖區瑞光路360號2樓之1,李宜平,"$912,507,540","91,250,754"
6465,威潤,27,台北巿內湖區潭美街539號6樓,吳柏慶,"$470,736,850","47,073,685"
6469,大樹,22,桃園市桃園區復興路186號18樓,盧山峰,"$1,496,992,020","149,699,202"
6470,宇智,27,新竹市金山八街1號3樓,袁允中,"$376,941,000","37,694,100"
6474,華豫寧,29,台中市北區進化北路238號4樓之8,蔡武安,"$525,261,990","52,526,199"
6482,弘煜科,32,台中市臺灣大道二段186號15樓之2,劉素幸,"$286,344,630","28,634,463"
6485,點序,24,新竹縣竹北市環科一路31號8樓之1,陳美智,"$452,470,080","45,247,008"
6486,互動,27,新北市五股區五工五路三十八之一號,陳美琪,"$508,932,860","50,893,286"
6488,環球晶,24,新竹科學園區新竹市工業東二路八號,彭欣瑜,"$4,781,137,250","478,113,725"
6492,生華科,22,新北市新店區北新路3段225號10樓,張小萍,"$899,036,200","89,903,620"
6494,九齊,24,新竹市水利路81號7樓之1,黃英傑,"$315,596,900","31,559,690"
6496,科懋,22,台北市南港區忠孝東路七段508號5樓,陳銘策,"$475,027,550","47,502,755"
6498,久禾光,26,臺中市西屯區工業區六路8號3樓,鄭錫勳,"$471,648,920","47,164,892"
6499,益安,22,台北市士林區後港街116號7F,陳靖宜,"$969,448,930","96,944,893"
6506,雙邦,4,南投縣南投市永興路3號,許瑜娟,"$823,608,260","82,360,826"
6508,惠光,33,台南市麻豆區麻佳路一段259號,朱秋碧,"$865,388,640","86,538,864"
6509,聚和,21,高雄市大寮區潮寮里華東路28號,鄭仲生,"$1,965,433,260","196,543,326"
