公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
6526,達發,24,新竹縣竹北市台元二街12號14樓之1,謝孟翰,"$1,675,055,540","167,505,554"
6531,愛普*,24,新竹縣竹北市台元一街一號10樓之一,林郁昕,"$813,313,855","162,662,771"
6533,晶心科,24,新竹科學園區新竹市力行一路1號3樓A1-4,李耿民,"$506,509,110","50,650,911"
6534,正瀚-創,22,南投縣南投市內興里文獻路89號,羅心君,"$1,028,000,000","102,800,000"
6541,泰福-KY,22,"P.O. Box 31119, Grand Pavilion, 802 West Bay Rd., KY1-1205",Stephen Lam,"$2,649,563,670","264,956,367"
6550,北極星藥業-KY,22,"P.O. Box 309, Ugland House,Grand Cayman, KY1-1104, Cayman",張婉妤,"$8,598,926,880","859,892,688"
6552,易華電,24,高雄市楠梓區新開發路8號,黃梅雪,"$830,000,000","83,000,000"
6558,興能高,31,新竹科學園區新竹市展業一路9號6樓之一、之三,謝祥豪,"$937,888,750","93,788,875"
6573,虹揚-KY,24,新北市新店區北新路三段207-5號4樓,程御峰,"$804,993,450","80,499,345"
6579,研揚,25,新北市新店區寶橋路235巷135號5樓,杜昀真,"$1,694,512,210","169,451,221"
6581,鋼聯,35,彰化縣伸港鄉彰濱工業區線工北一路36號,林琨傑,"$1,112,708,870","111,270,887"
6582,申豐,11,屏東縣枋寮鄉太源村中山路三段55號,曾建稄,"$1,061,741,410","106,174,141"
6585,鼎基,20,高雄市小港區北林路8-1號,林庚賢,"$721,335,870","72,133,587"
6589,台康生技,22,新北市汐止區康寧街169巷101號,劉理成,"$3,066,002,110","306,600,211"
6591,動力-KY,25,新北市中和區建一路166號9樓、9樓之一,姚成旻,"$411,224,650","41,122,465"
6592,和潤企業,20,台北市內湖區瑞光路605號10樓,楊鎧榮,"$7,231,504,930","623,150,493"
6598,ABC-KY,22,台北市內湖區行忠路28巷1號6樓,何重人,"$1,028,110,610","102,811,061"
6605,帝寶,12,彰化縣鹿港鎮頭南里南勢巷20-3號,呂理豐,"$1,658,163,970","165,816,397"
6606,建德工業,5,雲林縣斗六市斗工九路17號,黃盈璇,"$1,103,037,830","110,303,783"
6614,資拓宏宇,36,新北市板橋區縣民大道二段7號6樓,王芝和,"$806,605,210","80,660,521"
6625,必應,20,臺北市內湖區新湖一路370號3樓,張瑞娟,"$579,724,880","57,972,488"
6641,基士德-KY,35,"高雄市鼓山區民利街15,17,19號(台灣分公司)",陳世賢,"$365,000,000","36,500,000"
6645,金萬林-創,22,新北市汐止區新台五路一段97號30樓,楊文明,"$608,640,500","60,864,050"
6655,科定,20,新北市新莊區福慧路268號15樓,林美妏,"$805,718,170","80,571,817"
6657,華安,22,台北市瑞光路583巷21號6樓之3,江銘燦,"$888,080,000","88,808,000"
6658,聯策,31,桃園市中壢區新生路三段255巷168號,陳識翔,"$363,700,000","36,370,000"
6666,羅麗芬-KY,22,新北市中和區圓通路301號生醫科技大樓15樓,王志富,"$473,880,000","47,388,000"
6668,中揚光,26,台中市南屯區工業區二十二路21號,李榮洲,"$1,071,160,870","107,116,087"
6669,緯穎,25,新北市汐止區新台五路一段90號8樓,陳昌偉,"$1,858,407,910","185,840,791"
6670,復盛應用,37,台北市中山區南京東路二段172號3樓,許廷儀,"$1,393,869,730","139,386,973"
6671,三能-KY,38,臺中市大里區工業八路58號,蕭凱峰,"$607,500,000","60,750,000"
6672,騰輝電子-KY,28,桃園市平鎮區湧豐里工業五路10號,杜喬葦,"$714,347,450","71,434,745"
6674,鋐寶科技,27,新竹縣竹北市台元一街1號13樓之一,何振宇,"$686,976,590","68,697,659"
6689,伊雲谷,36,新北市三重區三和路四段111之32號7樓,林儀,"$680,000,000","68,000,000"
6691,洋基工程,31,新北市林口區文化二路一段266號18樓之3,程志豪,"$1,214,872,090","121,487,209"
6695,芯鼎,24,新竹科學園區新竹縣創新一路19-1號,李長龍,"$964,596,500","96,459,650"
6698,旭暉應材,31,台南市安南區工業一路36號,黃信貿,"$663,897,530","66,389,753"
6706,惠特,26,台中市西屯區工業區35路3號,許景翔,"$785,488,650","78,548,865"
6715,嘉基,28,新北市中和區建一路166號12樓,涂志翔,"$663,645,050","66,364,505"
6719,力智,24,新竹縣竹北市台元一街5號9樓,邱建邦,"$1,054,669,890","105,466,989"
6722,輝創,31,新北市中和區中正路959號5樓,李名正,"$884,000,000","88,400,000"
6742,澤米,26,苗栗縣竹南鎮和興路330號,何昆年,"$712,679,480","71,267,948"
6743,安普新,31,台北市南港區三重路19-3號3樓,許明仁,"$1,500,000,000","150,000,000"
6753,龍德造船,15,宜蘭縣冬山鄉大興村德興五路15號,黃守真,"$1,172,395,030","117,239,503"
6754,匯僑設計,38,台北市松山區南京東路四段75號12樓,羅月華,"$660,000,000","66,000,000"
6756,威鋒電子,24,新北市新店區中正路529-1號7樓,林志峰,"$698,810,000","69,881,000"
6757,台灣虎航,15,台北市松山區敦化北路405巷123弄3號,許致遠,"$4,595,300,000","459,530,000"
6768,志強-KY,37,台中市西屯區市政北五路266號3樓,麥班達,"$2,000,950,610","200,095,061"
6770,力積電,24,新竹科學園區新竹市力行一路18號,譚仲民,"$42,253,619,000","4,225,361,900"
6771,平和環保-創,35,高雄市岡山區本工路6號,陳義生,"$311,795,000","31,179,500"
6776,展碁國際,29,台北市南港區南港路三段9號10-12樓,鄭明琪,"$915,814,300","91,581,430"
6781,AES-KY,28,新竹縣湖口鄉湖口村八德路二段656號5樓,宋維哲,"$854,187,800","85,418,780"
6782,視陽,22,桃園市龜山區興業街1號,吳滄松,"$630,000,000","63,000,000"
6789,采鈺,24,新竹科學園區新竹市篤行一路12號,邱建俊,"$3,182,991,190","318,299,119"
6790,永豐實,9,臺北市中正區重慶南路2段51號16樓,陳佩雯,"$2,671,290,210","267,129,021"
6792,詠業,27,新竹縣關西鎮大同里水坑41號,李瑞榮,"$478,753,250","47,875,325"
6794,向榮生技,22,臺北市內湖區民權東路6段13之20號5樓,洪懿珮,"$636,370,000","63,637,000"
6796,晉弘,22,新竹科學園區新竹市東區工業東四路24-2號3樓,鄭竹明,"$402,339,700","40,233,970"
6799,來頡,24,臺北市內湖區瑞光路358巷38弄36號9樓,葉瑞斌,"$430,965,530","43,096,553"
6805,富世達,28,新北市新莊區五權二路24號8樓之4,邱稚育,"$685,538,960","68,553,896"
6806,森崴能源,35,新北市土城區中央路四段49號,李心美,"$2,746,429,020","274,642,902"
6807,峰源-KY,38,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",朱明偉,"$540,000,000","54,000,000"
6830,汎銓,31,新竹市埔頂路27號1樓,宋建宏,"$517,818,460","51,781,846"
6831,邁科,25,新北市中和區中正路788號11樓,林仕文,"$675,000,000","67,500,000"
6834,天二科技,28,高雄市前鎮區南四路3號,黃弘傑,"$884,710,820","88,471,082"
6835,圓裕,28,新北市新店區民權路130巷4號4樓,郭明豐,"$661,722,970","66,172,297"
6838,台新藥,22,台北市復興北路57號8樓之6,魏景成,"$1,509,771,000","150,977,100"
6854,錼創科技-KY創,24,苗栗縣竹南鎮科中路13號8樓,陳銘章,"$1,176,786,220","117,678,622"
6861,睿生光電,22,南部科學園區臺南市新市區環西路二段2號B室,楊柱祥,"$415,992,500","41,599,250"
6862,三集瑞-KY,28,新北市中和區連城路268號14樓之9,王中儒,"$500,000,000","50,000,000"
6863,永道-KY,27,"P.O. Box 32052, Grand Cayman KY1-1208, Cayman Islands.",張淑芬,"$748,880,000","74,888,000"
6869,雲豹能源,35,台北市內湖區基湖路1號4樓之1,張建偉,"$1,378,300,410","137,830,041"
6873,泓德能源,35,臺北市士林區德行西路35號5樓,周仕昌,"$1,418,723,700","141,872,370"
6885,全福生技,22,台北市內湖區瑞光路358巷30弄1號8樓,郭美慧,"$1,332,140,000","133,214,000"
6887,寶綠特-KY,35,台南市柳營區工六路2號,林昱君,"$741,395,120","74,139,512"
6890,來億-KY,37,臺中市大雅區雅潭路四段370巷13號,許松竹,"$2,494,000,000","249,400,000"
6901,鑽石投資,20,台北市中正區忠孝西路一段66號35樓,吳友梅,"$8,527,500,000","852,750,000"
6902,GOGOLOOK,36,臺北市大安區敦化南路2段319號6樓,郭建甫,"$353,589,480","35,358,948"
6906,現觀科,36,台北市中山區中山北路二段42號2樓,張宇寬,"$335,374,000","33,537,400"
6909,創控,24,新北市中和區中正路866-8號17樓,呂秀孺,"$672,222,000","67,222,200"
6914,阜爾運通,20,新北市土城區三民路2號7樓之8,潘壕新,"$662,260,000","66,226,000"
6916,華凌,26,台中市大雅區秀山里科雅路43號2樓,黃信福,"$675,000,000","67,500,000"
6918,愛派司,22,新北市中和區橋和路21號3樓,羅翔煒,"$345,710,000","34,571,000"
6919,康霈*,22,新北市汐止區新台五路一段99號32樓之9,張慧敏,"$776,938,930","1,553,877,860"
6921,嘉雨思-創,24,新北市中和區連城路268號5樓之2,高妙斌,"$318,369,410","31,836,941"
6923,中台,35,桃園市觀音區大潭里環科路328號,張&#21843;達,"$914,880,000","91,488,000"
6924,榮惠-KY創,28,台北市內湖區瑞光路102號3樓,吳建芳,"$208,500,000","20,850,000"
6928,攸泰科技,25,台北市內湖區陽光街 300 號 4 樓,黃堅真,"$860,000,000","86,000,000"
6931,青松健康,22,台中市大里區中投西路三段217號,周孟賢,"$661,521,600","66,152,160"
6933,AMAX-KY,25,"Suite102,Cannon Place,North Sound Rd.,George Town,Cayman",倪小菁,"$423,688,000","42,368,800"
6934,心誠鎂,22,台北市大安區敦化南路二段319號10樓,杜維誠,"$359,727,620","35,972,762"
6936,永鴻生技,22,新竹縣新豐鄉中崙村中崙290-3號,鍾威凱,"$728,040,000","72,804,000"
6937,天虹,24,新竹縣竹北市嘉政一街1號6樓,黃見駱,"$675,762,630","67,576,263"
6944,兆聯實業,35,桃園市桃園區桃鶯路439-3號,金保華,"$766,879,120","76,687,912"
6949,沛爾生醫-創,22,臺北市內湖區新湖二路87號4樓,宋明潭,"$647,975,500","64,797,550"
6951,青新-創,35,雲林縣莿桐鄉延平路58-1號,張驥,"$460,000,000","46,000,000"
6952,大武山,20,屏東縣新埤鄉萬隆村平山路68-30號,魏毓恆,"$683,450,000","68,345,000"
6955,邦睿生技-創,22,台中市大里區工業九路118號4樓,楊佩&#30494;,"$248,007,850","24,800,785"
6957,裕慶-KY,20,南投縣南投市永豐里成功三路 122 號,林義唐,"$555,129,500","55,512,950"
6958,日盛台駿,20,台北市中山區松江路68號7樓,汪光遠,"$4,432,893,600","403,289,360"
6962,奕力-KY,24,新竹縣竹北市台元二街1號10樓之1,林冠宇,"$4,923,965,650","492,396,565"
6965,中傑-KY,37,台中市大雅區中清路四段628號,陳榮松,"$1,563,360,000","156,336,000"
6969,成信實業*-創,35,台南市柳營區環園東路一段23號,謝雅敏,"$549,197,200","38,142,903"
6988,威力暘-創,12,新竹縣竹北市台元二街12號11樓之8,劉一郎,"$476,000,000","47,600,000"
6994,富威電力,35,新北市土城區中央路四段49號,郝遐鵬,"$738,285,710","73,828,571"
7610,聯友金屬-創,35,屏東縣枋寮鄉太源村中山路三段103號,吳永中,"$485,854,560","48,585,456"
7631,聚賢研發-創,31,新竹市東區林森路231號9樓,鄭惠芸,"$201,420,000","20,142,000"
7705,三商餐飲,16,台北市中山區建國北路二段145號5樓,趙惠玲,"$660,673,040","66,067,304"
7711,永擎,25,台北市北投區中央南路二段37號4樓,洪培雅,"$717,546,950","71,754,695"
7721,微程式,36,台中市西屯區市政路402號6樓之2,劉育成,"$553,700,000","55,370,000"
7722,LINEPAY,36,臺北市南港區經貿二路121號18樓,張希雯,"$680,000,000","68,000,000"
7730,暉盛-創,24,臺南市安南區科技五路100號,邱冠陸,"$367,967,310","36,796,731"
7732,金興精密,12,桃園市平鎮區工業一路3號,施孟謹,"$646,800,000","64,680,000"
7736,虎山,12,新北市瑞芳區頂坪路瑞芳工業區3號,蘇家慧,"$760,000,000","76,000,000"
7740,熙特爾-創,35,臺北市松山區南京東路5段89號12樓,張雅怡,"$532,000,000","53,200,000"
7749,意騰-KY,24,新竹縣竹北市復興三路二段168號11樓之3,許維新,"$464,857,280","46,485,728"
7750,新代,5,新竹科學園區新竹市研發二路25號,林東旭,"$718,430,000","71,843,000"
