securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫台中,5.67,0,5000,1021,2601,2025-12-10
合庫基隆,5.62,1000,0,1025,2601,2025-12-10
合庫基隆,5.63,1000,0,1025,2601,2025-12-10
合庫基隆,5.66,10000,0,1025,2601,2025-12-10
合庫基隆,5.67,1000,0,1025,2601,2025-12-10
合庫基隆,5.7,1000,0,1025,2601,2025-12-10
合庫桃園,5.61,1000,0,102E,2601,2025-12-10
合庫桃園,5.66,1000,0,102E,2601,2025-12-10
土銀新竹,5.61,1000,0,1035,2601,2025-12-10
土銀新竹,5.63,1000,0,1035,2601,2025-12-10
土銀新竹,5.66,1000,0,1035,2601,2025-12-10
土銀玉里,5.66,0,7000,1036,2601,2025-12-10
臺銀臺南,5.67,1311,0,1042,2601,2025-12-10
臺銀臺中,5.64,1000,0,104A,2601,2025-12-10
臺銀臺中,5.69,5000,0,104A,2601,2025-12-10
臺銀高雄,5.63,2000,0,104C,2601,2025-12-10
臺銀高雄,5.66,0,1000,104C,2601,2025-12-10
臺銀高雄,5.69,0,2000,104C,2601,2025-12-10
臺銀高雄,5.71,1000,0,104C,2601,2025-12-10
企銀台中,5.67,202,0,1111,2601,2025-12-10
彰銀台中,5.66,5000,0,1233,2601,2025-12-10
宏遠館前,5.66,1000,0,126U,2601,2025-12-10
美商高盛,5.71,0,6000,1480,2601,2025-12-10
港商野村,5.64,0,8000,1560,2601,2025-12-10
港商野村,5.65,0,64000,1560,2601,2025-12-10
港商野村,5.66,0,7000,1560,2601,2025-12-10
港商野村,5.67,0,6000,1560,2601,2025-12-10
港商野村,5.68,0,11000,1560,2601,2025-12-10
港商野村,5.69,0,4000,1560,2601,2025-12-10
瑞銀,5.66,0,15000,1650,2601,2025-12-10
瑞銀,5.67,0,6000,1650,2601,2025-12-10
瑞銀,5.69,0,6000,1650,2601,2025-12-10
瑞銀,5.71,6000,0,1650,2601,2025-12-10
美好中和,5.67,0,8000,526A,2601,2025-12-10
美好中和,5.68,0,2000,526A,2601,2025-12-10
美好中和,5.69,0,10000,526A,2601,2025-12-10
高橋龍潭,5.62,5000,0,5321,2601,2025-12-10
第一員林,5.64,10000,0,5381,2601,2025-12-10
第一員林,5.65,10000,0,5381,2601,2025-12-10
第一員林,5.66,10000,0,5381,2601,2025-12-10
第一員林,5.67,10000,0,5381,2601,2025-12-10
第一員林,5.68,20000,0,5381,2601,2025-12-10
第一台中,5.63,3000,0,5382,2601,2025-12-10
第一高雄,5.66,2000,0,5383,2601,2025-12-10
第一台南,5.68,0,2000,5384,2601,2025-12-10
第一新興,5.65,15000,0,538A,2601,2025-12-10
第一新竹,5.66,0,1000,538B,2601,2025-12-10
第一忠孝,5.65,2000,0,538D,2601,2025-12-10
第一頭份,5.66,0,10000,538I,2601,2025-12-10
第一豐原,5.65,0,3000,538N,2601,2025-12-10
統一,5.66,0,41,5850,2601,2025-12-10
統一,5.67,0,52,5850,2601,2025-12-10
統一,5.69,0,7,5850,2601,2025-12-10
統一高雄,5.66,0,1000,5851,2601,2025-12-10
統一嘉義,5.66,1000,0,5858,2601,2025-12-10
統一嘉義,5.68,1000,0,5858,2601,2025-12-10
統一嘉義,5.69,1000,0,5858,2601,2025-12-10
統一新台中,5.7,2000,0,585D,2601,2025-12-10
統一員林,5.66,0,2000,585I,2601,2025-12-10
元富三重,5.65,0,3000,5923,2601,2025-12-10
元富三重,5.66,0,9000,5923,2601,2025-12-10
元富台中,5.62,5000,0,5925,2601,2025-12-10
元富林園,5.66,1000,0,5927,2601,2025-12-10
元富松德,5.61,10000,0,592a,2601,2025-12-10
元富松德,5.68,0,214,592a,2601,2025-12-10
元富緯城,5.65,5000,0,592A,2601,2025-12-10
元富信義,5.63,0,16000,592H,2601,2025-12-10
元富中港,5.65,0,1000,592i,2601,2025-12-10
元富成功,5.63,2000,0,592m,2601,2025-12-10
元富成功,5.65,1000,0,592m,2601,2025-12-10
元富成功,5.66,2000,0,592m,2601,2025-12-10
元富成功,5.68,0,2,592m,2601,2025-12-10
元富彰化,5.64,2000,0,592M,2601,2025-12-10
元富彰化,5.67,1000,0,592M,2601,2025-12-10
元富同大,5.71,1000,0,592P,2601,2025-12-10
元富基隆,5.62,2000,0,592S,2601,2025-12-10
元富桃園,5.64,0,1000,592v,2601,2025-12-10
元富桃園,5.67,1000,0,592v,2601,2025-12-10
?亞網路,5.67,5000,0,6012,2601,2025-12-10
中銀員林,5.66,1000,0,6114,2601,2025-12-10
中國信託,5.64,0,2000,6160,2601,2025-12-10
中國信託,5.65,1000,0,6160,2601,2025-12-10
中信託文,5.65,1000,0,6164,2601,2025-12-10
中信託高,5.67,0,468,616K,2601,2025-12-10
光和,5.66,0,12000,6380,2601,2025-12-10
光和田中,5.64,2000,0,6382,2601,2025-12-10
永全八德,5.66,30000,2000,6452,2601,2025-12-10
大昌,5.63,5000,0,6460,2601,2025-12-10
大昌安康,5.62,2000,0,6462,2601,2025-12-10
大昌安康,5.66,13000,0,6462,2601,2025-12-10
大昌新店,5.63,1000,0,6464,2601,2025-12-10
口袋,5.62,1000,0,6620,2601,2025-12-10
兆豐板橋,5.65,3000,0,700B,2601,2025-12-10
兆豐三民,5.66,3000,0,700h,2601,2025-12-10
兆豐東門,5.62,1000,0,700H,2601,2025-12-10
兆豐員林,5.64,7000,0,700k,2601,2025-12-10
兆豐員林,5.68,5000,0,700k,2601,2025-12-10
兆豐小港,5.66,21,0,700R,2601,2025-12-10
兆豐大同,5.62,0,12000,700S,2601,2025-12-10
兆豐大同,5.63,2000,0,700S,2601,2025-12-10
兆豐大同,5.64,2000,0,700S,2601,2025-12-10
兆豐大同,5.65,2000,0,700S,2601,2025-12-10
兆豐大同,5.66,4000,0,700S,2601,2025-12-10
兆豐大同,5.69,2000,0,700S,2601,2025-12-10
兆豐新竹,5.7,0,1000,700V,2601,2025-12-10
兆豐新莊,5.63,1000,0,700w,2601,2025-12-10
兆豐新莊,5.69,5000,0,700w,2601,2025-12-10
兆豐永和,5.67,1000,0,700X,2601,2025-12-10
國票綜合,5.65,3000,0,7790,2601,2025-12-10
國票綜合,5.66,20,0,7790,2601,2025-12-10
國票綜合,5.67,2,1,7790,2601,2025-12-10
國票綜合,5.7,2,0,7790,2601,2025-12-10
國票敦北,5.67,0,2000,779c,2601,2025-12-10
國票南科,5.61,6000,0,779e,2601,2025-12-10
國票南科,5.62,2000,0,779e,2601,2025-12-10
國票南科,5.63,2000,0,779e,2601,2025-12-10
國票南科,5.64,2000,0,779e,2601,2025-12-10
國票南科,5.65,2000,0,779e,2601,2025-12-10
國票南科,5.66,3000,0,779e,2601,2025-12-10
國票南科,5.69,1000,0,779e,2601,2025-12-10
國票南崁,5.67,1000,0,779E,2601,2025-12-10
國票長城,5.61,5000,0,779u,2601,2025-12-10
國票長城,5.62,5000,0,779u,2601,2025-12-10
國票長城,5.65,3000,0,779u,2601,2025-12-10
國票天祥,5.65,1000,0,779V,2601,2025-12-10
國票中和,5.62,2000,0,779X,2601,2025-12-10
國票中和,5.64,1000,0,779X,2601,2025-12-10
國票中和,5.65,1000,0,779X,2601,2025-12-10
台新,5.6,28032,0,8150,2601,2025-12-10
台新,5.65,1000,0,8150,2601,2025-12-10
台新左楠,5.63,2000,0,8157,2601,2025-12-10
台新松江,5.64,0,3000,8158,2601,2025-12-10
台新松江,5.65,0,5000,8158,2601,2025-12-10
台新高雄,5.62,0,16000,815A,2601,2025-12-10
台新高雄,5.64,1000,0,815A,2601,2025-12-10
台新高雄,5.66,6000,0,815A,2601,2025-12-10
台新屏東,5.62,3000,0,815H,2601,2025-12-10
台新屏東,5.66,3000,0,815H,2601,2025-12-10
台新新營,5.64,1000,0,815Y,2601,2025-12-10
台新新營,5.67,2000,0,815Y,2601,2025-12-10
摩根大通,5.65,0,23000,8440,2601,2025-12-10
摩根大通,5.66,0,28000,8440,2601,2025-12-10
摩根大通,5.68,0,3000,8440,2601,2025-12-10
摩根大通,5.7,0,2000,8440,2601,2025-12-10
康和台南,5.6,0,374,8458,2601,2025-12-10
康和台南,5.64,5000,0,8458,2601,2025-12-10
康和板橋,5.67,0,113,845D,2601,2025-12-10
康和澎湖,5.65,0,6000,845E,2601,2025-12-10
康和澎湖,5.66,0,4000,845E,2601,2025-12-10
中農,5.63,1000,0,8520,2601,2025-12-10
新光,5.65,1000,20000,8560,2601,2025-12-10
新光,5.67,441,29000,8560,2601,2025-12-10
新光,5.72,0,5000,8560,2601,2025-12-10
新光台中,5.6,0,4000,8561,2601,2025-12-10
新光台中,5.64,0,6000,8561,2601,2025-12-10
新光高雄,5.67,86,0,8562,2601,2025-12-10
新光高雄,5.68,214,0,8562,2601,2025-12-10
新光新竹,5.68,5000,0,8563,2601,2025-12-10
新光桃園,5.61,2000,0,8565,2601,2025-12-10
新光桃園,5.66,0,399,8565,2601,2025-12-10
新光桃園,5.67,0,600,8565,2601,2025-12-10
玉山,5.66,1000,100,8840,2601,2025-12-10
玉山雙和,5.67,50,0,8841,2601,2025-12-10
玉山高雄,5.62,2000,0,8843,2601,2025-12-10
玉山台南,5.63,1000,0,8847,2601,2025-12-10
玉山台南,5.65,1000,0,8847,2601,2025-12-10
玉山台南,5.66,1000,0,8847,2601,2025-12-10
玉山台南,5.67,1000,0,8847,2601,2025-12-10
玉山台南,5.69,1000,0,8847,2601,2025-12-10
玉山台南,5.71,1000,0,8847,2601,2025-12-10
玉山嘉義,5.69,5000,0,8848,2601,2025-12-10
玉山景美,5.61,3000,0,8849,2601,2025-12-10
玉山景美,5.62,5000,0,8849,2601,2025-12-10
玉山景美,5.63,3000,0,8849,2601,2025-12-10
玉山景美,5.64,2000,0,8849,2601,2025-12-10
玉山景美,5.65,2000,0,8849,2601,2025-12-10
玉山景美,5.66,3000,0,8849,2601,2025-12-10
玉山大里,5.66,5000,3000,884J,2601,2025-12-10
玉山數位,5.65,1000,0,884M,2601,2025-12-10
國泰高雄,5.65,11000,0,8881,2601,2025-12-10
國泰台中,5.63,3000,0,8882,2601,2025-12-10
國泰台南,5.6,100,0,8884,2601,2025-12-10
國泰台南,5.63,1000,0,8884,2601,2025-12-10
國泰台南,5.65,1000,0,8884,2601,2025-12-10
國泰桃園,5.65,1000,0,8885,2601,2025-12-10
國泰桃園,5.67,40,0,8885,2601,2025-12-10
國泰新莊,5.7,0,1,8886,2601,2025-12-10
國泰敦南,5.62,10000,0,8888,2601,2025-12-10
國泰敦南,5.63,0,4000,8888,2601,2025-12-10
國泰敦南,5.64,10000,0,8888,2601,2025-12-10
國泰敦南,5.65,5000,0,8888,2601,2025-12-10
國泰敦南,5.66,1000,4000,8888,2601,2025-12-10
國泰敦南,5.67,46,1,8888,2601,2025-12-10
國泰敦南,5.68,6,1,8888,2601,2025-12-10
國泰敦南,5.69,0,1000,8888,2601,2025-12-10
國泰敦南,5.7,0,2000,8888,2601,2025-12-10
國泰敦南,5.72,2000,0,8888,2601,2025-12-10
國泰館前,5.66,1000,0,888A,2601,2025-12-10
國泰板橋,5.66,5000,0,888K,2601,2025-12-10
群益開元,5.6,0,30000,9134,2601,2025-12-10
群益開元,5.61,0,61000,9134,2601,2025-12-10
群益開元,5.62,0,9000,9134,2601,2025-12-10
群益開元,5.63,0,1000,9134,2601,2025-12-10
群益開元,5.64,0,2000,9134,2601,2025-12-10
群益士林,5.68,2000,0,9137,2601,2025-12-10
群益屏東,5.67,100,0,913H,2601,2025-12-10
群益萬華,5.62,0,2000,913I,2601,2025-12-10
群益萬華,5.65,1000,0,913I,2601,2025-12-10
群益萬華,5.66,1000,0,913I,2601,2025-12-10
群益萬華,5.67,2000,0,913I,2601,2025-12-10
群益萬華,5.7,1000,0,913I,2601,2025-12-10
群益萬華,5.71,1000,0,913I,2601,2025-12-10
群益萬華,5.72,5000,0,913I,2601,2025-12-10
群益崇德,5.67,12000,0,913U,2601,2025-12-10
群益崇德,5.68,5000,0,913U,2601,2025-12-10
群益崇德,5.7,13000,0,913U,2601,2025-12-10
群益台中,5.67,1000,0,9184,2601,2025-12-10
群益古亭,5.61,1000,0,918C,2601,2025-12-10
群益古亭,5.62,1000,0,918C,2601,2025-12-10
群益古亭,5.63,1000,0,918C,2601,2025-12-10
群益古亭,5.64,1000,0,918C,2601,2025-12-10
群益古亭,5.66,2000,0,918C,2601,2025-12-10
群益古亭,5.69,1000,0,918C,2601,2025-12-10
群益永和,5.61,7000,0,918J,2601,2025-12-10
群益永和,5.65,1000,0,918J,2601,2025-12-10
群益永和,5.66,5000,0,918J,2601,2025-12-10
群益嘉義,5.66,0,3000,918M,2601,2025-12-10
凱基,5.65,1000,0,9200,2601,2025-12-10
凱基,5.66,1000,0,9200,2601,2025-12-10
凱基,5.67,1000,0,9200,2601,2025-12-10
凱基高雄,5.67,5000,0,9206,2601,2025-12-10
