securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫台中,5.6,0,4000,1021,2601,2026-01-15
合庫台南,5.63,0,1000,1022,2601,2026-01-15
合庫高雄,5.6,1000,0,1023,2601,2026-01-15
合庫嘉義,5.64,11000,0,1024,2601,2026-01-15
合庫基隆,5.59,0,1000,1025,2601,2026-01-15
合庫基隆,5.64,3000,0,1025,2601,2026-01-15
合庫自強,5.57,2000,0,102C,2601,2026-01-15
合庫自強,5.65,400,0,102C,2601,2026-01-15
合庫西台,5.65,0,90,102F,2601,2026-01-15
土銀台中,5.6,0,1000,1031,2601,2026-01-15
土銀新竹,5.63,0,293,1035,2601,2026-01-15
土銀新竹,5.64,0,877,1035,2601,2026-01-15
土銀新竹,5.65,0,604,1035,2601,2026-01-15
土銀白河,5.63,2000,0,103C,2601,2026-01-15
臺銀臺南,5.6,603,0,1042,2601,2026-01-15
臺銀臺南,5.62,2,0,1042,2601,2026-01-15
臺銀臺南,5.64,397,0,1042,2601,2026-01-15
臺銀新竹,5.55,0,1000,1045,2601,2026-01-15
臺銀新竹,5.65,1000,0,1045,2601,2026-01-15
臺銀臺中,5.6,0,14000,104A,2601,2026-01-15
臺銀臺中,5.62,0,1000,104A,2601,2026-01-15
臺銀臺中,5.63,1000,0,104A,2601,2026-01-15
臺銀高雄,5.59,0,8000,104C,2601,2026-01-15
臺銀高雄,5.6,9000,0,104C,2601,2026-01-15
臺銀高雄,5.61,2000,0,104C,2601,2026-01-15
臺銀高雄,5.62,43000,0,104C,2601,2026-01-15
臺銀高雄,5.65,30000,0,104C,2601,2026-01-15
企銀屏東,5.55,2000,0,1116,2601,2026-01-15
企銀桃園,5.65,0,10000,111E,2601,2026-01-15
宏遠高雄,5.62,0,10000,126Q,2601,2026-01-15
宏遠館前,5.64,0,5000,126U,2601,2026-01-15
美林,5.55,0,16000,1440,2601,2026-01-15
美林,5.59,4000,7000,1440,2601,2026-01-15
美林,5.6,1000,72000,1440,2601,2026-01-15
美林,5.61,0,6000,1440,2601,2026-01-15
美林,5.64,1000,9000,1440,2601,2026-01-15
美林,5.65,21000,19000,1440,2601,2026-01-15
台灣摩根,5.56,0,1000,1470,2601,2026-01-15
台灣摩根,5.6,0,6000,1470,2601,2026-01-15
台灣摩根,5.61,0,7000,1470,2601,2026-01-15
台灣摩根,5.62,0,1000,1470,2601,2026-01-15
台灣摩根,5.63,0,2000,1470,2601,2026-01-15
台灣摩根,5.64,0,1000,1470,2601,2026-01-15
美商高盛,5.57,0,3000,1480,2601,2026-01-15
美商高盛,5.58,0,1000,1480,2601,2026-01-15
美商高盛,5.59,3000,19000,1480,2601,2026-01-15
美商高盛,5.6,0,2000,1480,2601,2026-01-15
美商高盛,5.61,0,1000,1480,2601,2026-01-15
美商高盛,5.63,2000,3000,1480,2601,2026-01-15
美商高盛,5.64,0,1000,1480,2601,2026-01-15
美商高盛,5.65,0,1000,1480,2601,2026-01-15
港商野村,5.62,15000,0,1560,2601,2026-01-15
花旗環球,5.64,2000,0,1590,2601,2026-01-15
花旗環球,5.65,1000,0,1590,2601,2026-01-15
瑞銀,5.64,3000,0,1650,2601,2026-01-15
亞東,5.62,10,0,2180,2601,2026-01-15
大展,5.64,0,30000,5050,2601,2026-01-15
美好楊梅,5.58,1000,0,5262,2601,2026-01-15
美好楊梅,5.59,10000,0,5262,2601,2026-01-15
美好楊梅,5.62,0,1000,5262,2601,2026-01-15
第一台中,5.54,0,1000,5382,2601,2026-01-15
第一台中,5.58,0,1000,5382,2601,2026-01-15
第一台中,5.61,1000,0,5382,2601,2026-01-15
第一桃園,5.54,0,12000,5385,2601,2026-01-15
第一澎湖,5.64,0,2000,5387,2601,2026-01-15
